county_qualified_name	homes_sold	new_listings	inventory	median_dom	months_of_supply	state_code	county_name	months_averaged
Butte County, ID	2.25	2.25	13.0	70.75	7.3	ID	Butte County	3
Butte County, ID	1.83	2.5	14.83	74.67	11.03	ID	Butte County	6
Butte County, ID	2.2	3.3	13.1	76.4	8.12	ID	Butte County	12
Butte County, ID	2.17	3.27	11.92	81.5	7.43	ID	Butte County	18
Camas County, ID	1.0		3.0	352.0	3.0	ID	Camas County	3
Camas County, ID	2.0	1.5	5.33	161.0	2.83	ID	Camas County	6
Camas County, ID	2.33	2.25	6.33	630.0	2.94	ID	Camas County	12
Camas County, ID	2.2	2.11	5.8	570.3	2.75	ID	Camas County	18
Canyon County, ID	386.0	303.0	657.5	62.0	1.75	ID	Canyon County	1
Canyon County, ID	352.25	259.0	691.25	80.0	2.05	ID	Canyon County	3
Canyon County, ID	333.57	248.43	877.57	76.29	2.74	ID	Canyon County	6
Canyon County, ID	368.08	383.15	1028.54	51.23	2.92	ID	Canyon County	12
Canyon County, ID	385.06	402.81	939.38	46.56	2.6	ID	Canyon County	18
Caribou County, ID	6.0	5.5	22.0	50.5	4.85	ID	Caribou County	1
Caribou County, ID	4.25	5.5	23.0	75.25	10.3	ID	Caribou County	3
Caribou County, ID	4.29	4.43	23.71	56.14	8.36	ID	Caribou County	6
Caribou County, ID	5.38	7.69	24.15	52.15	6.62	ID	Caribou County	12
Caribou County, ID	4.94	7.19	21.62	59.88	6.14	ID	Caribou County	18
Cassia County, ID	12.0	12.0	41.5	59.5	3.45	ID	Cassia County	1
Cassia County, ID	10.75	12.25	41.75	71.0	3.95	ID	Cassia County	3
Cassia County, ID	12.0	11.71	41.57	55.71	3.6	ID	Cassia County	6
Cassia County, ID	16.46	17.23	42.69	40.23	2.92	ID	Cassia County	12
Cassia County, ID	16.0	17.94	40.25	37.88	2.84	ID	Cassia County	18
Clark County, ID	1.0		1.0	18.0	1.0	ID	Clark County	6
Clark County, ID	1.0		1.0	185.0	1.0	ID	Clark County	12
Clark County, ID	1.0		1.0	185.0	1.0	ID	Clark County	18
Clearwater County, ID	4.0	8.0	24.0	568.5	6.0	ID	Clearwater County	1
Clearwater County, ID	4.75	5.5	22.5	354.0	5.4	ID	Clearwater County	3
Clearwater County, ID	5.57	4.29	26.43	227.29	5.11	ID	Clearwater County	6
Clearwater County, ID	6.92	8.92	30.54	141.0	4.85	ID	Clearwater County	12
Clearwater County, ID	7.06	8.31	26.81	126.25	4.21	ID	Clearwater County	18
Custer County, ID	3.0	5.0	26.0	62.0	8.7	ID	Custer County	1
Custer County, ID	2.0	3.5	25.5	164.0	16.85	ID	Custer County	3
Custer County, ID	2.0	3.8	26.0	86.4	16.64	ID	Custer County	6
Custer County, ID	3.55	6.09	23.27	63.18	10.11	ID	Custer County	12
Custer County, ID	4.07	5.57	22.0	76.07	8.57	ID	Custer County	18
Elmore County, ID	29.5	32.5	73.0	34.5	2.45	ID	Elmore County	1
Elmore County, ID	25.5	28.5	67.5	40.75	2.7	ID	Elmore County	3
Elmore County, ID	27.14	26.14	67.86	36.43	2.81	ID	Elmore County	6
Elmore County, ID	36.08	39.46	67.69	25.0	2.22	ID	Elmore County	12
Elmore County, ID	37.75	40.88	61.12	23.88	1.94	ID	Elmore County	18
Franklin County, ID	9.5	11.5	26.0	75.5	2.75	ID	Franklin County	1
Franklin County, ID	7.0	9.25	27.25	65.0	4.6	ID	Franklin County	3
Franklin County, ID	7.57	9.0	30.0	69.57	4.57	ID	Franklin County	6
Franklin County, ID	9.31	12.38	29.31	49.38	3.65	ID	Franklin County	12
Franklin County, ID	8.75	11.56	26.81	49.75	3.54	ID	Franklin County	18
Fremont County, ID	11.5	18.0	50.0	93.5	4.6	ID	Fremont County	1
Fremont County, ID	10.25	14.25	51.5	90.5	5.6	ID	Fremont County	3
Fremont County, ID	10.57	12.71	64.71	81.0	6.7	ID	Fremont County	6
Fremont County, ID	15.15	23.92	77.69	60.54	5.75	ID	Fremont County	12
Fremont County, ID	14.62	21.69	71.25	65.19	5.42	ID	Fremont County	18
Gem County, ID	22.0	18.0	58.0	116.0	2.65	ID	Gem County	1
Gem County, ID	18.75	13.25	63.5	100.5	4.0	ID	Gem County	3
Gem County, ID	20.14	15.0	75.71	86.43	4.11	ID	Gem County	6
Gem County, ID	23.15	26.46	86.08	59.23	4.08	ID	Gem County	12
Gem County, ID	23.69	26.31	80.12	58.44	3.72	ID	Gem County	18
Gooding County, ID	8.5	12.0	33.5	27.5	4.1	ID	Gooding County	1
Gooding County, ID	6.25	10.0	30.75	18.0	5.82	ID	Gooding County	3
Gooding County, ID	8.0	10.0	29.29	33.86	4.49	ID	Gooding County	6
Gooding County, ID	10.54	12.08	30.08	35.62	3.63	ID	Gooding County	12
Gooding County, ID	10.5	12.06	28.88	45.94	3.44	ID	Gooding County	18
Idaho County, ID	13.5	10.0	52.0	178.5	4.2	ID	Idaho County	1
Idaho County, ID	11.0	8.5	56.5	140.5	5.72	ID	Idaho County	3
Idaho County, ID	12.14	10.0	61.14	121.0	5.43	ID	Idaho County	6
Idaho County, ID	13.0	16.0	66.31	93.15	5.43	ID	Idaho County	12
Idaho County, ID	12.94	14.5	60.25	97.69	4.93	ID	Idaho County	18
Jefferson County, ID	23.0	28.0	72.0	43.0	3.15	ID	Jefferson County	1
Jefferson County, ID	20.75	28.25	72.75	43.5	3.55	ID	Jefferson County	3
Jefferson County, ID	22.43	27.0	77.71	47.0	3.63	ID	Jefferson County	6
Jefferson County, ID	29.23	39.08	87.31	43.92	3.2	ID	Jefferson County	12
Jefferson County, ID	28.38	37.44	80.88	45.06	3.02	ID	Jefferson County	18
Jerome County, ID	19.5	20.5	48.0	69.5	2.5	ID	Jerome County	1
Jerome County, ID	15.75	17.5	44.75	49.25	3.0	ID	Jerome County	3
Jerome County, ID	14.71	15.57	44.14	43.86	3.26	ID	Jerome County	6
Jerome County, ID	15.85	18.31	40.15	35.08	2.75	ID	Jerome County	12
Jerome County, ID	15.25	17.75	35.31	31.56	2.46	ID	Jerome County	18
Kootenai County, ID	241.5	430.5	773.5	32.0	3.2	ID	Kootenai County	1
Kootenai County, ID	205.5	342.25	693.25	51.5	3.45	ID	Kootenai County	3
Kootenai County, ID	215.86	282.14	747.43	51.29	3.5	ID	Kootenai County	6
Kootenai County, ID	270.31	395.92	807.08	35.08	3.12	ID	Kootenai County	12
Kootenai County, ID	270.88	385.38	700.31	31.38	2.69	ID	Kootenai County	18
Latah County, ID	19.0	26.0	53.0	33.0	2.8	ID	Latah County	1
Latah County, ID	15.25	20.25	46.5	34.25	3.18	ID	Latah County	3
Latah County, ID	18.86	18.57	46.29	33.43	2.74	ID	Latah County	6
Latah County, ID	28.23	29.85	50.31	23.46	2.13	ID	Latah County	12
Latah County, ID	26.0	29.62	45.94	24.19	2.05	ID	Latah County	18
Lemhi County, ID	5.5	7.0	31.5	59.5	5.75	ID	Lemhi County	1
Lemhi County, ID	4.25	6.75	31.75	67.25	12.88	ID	Lemhi County	3
Lemhi County, ID	5.14	6.57	32.57	67.14	9.9	ID	Lemhi County	6
Lemhi County, ID	7.23	9.15	35.0	60.54	7.36	ID	Lemhi County	12
Lemhi County, ID	7.38	9.06	35.5	62.44	6.96	ID	Lemhi County	18
Lewis County, ID	2.5	2.5	4.0	54.0	1.6	ID	Lewis County	1
Lewis County, ID	2.0	2.33	3.0	53.75	1.55	ID	Lewis County	3
Lewis County, ID	2.14	1.83	4.0	52.57	2.13	ID	Lewis County	6
Lewis County, ID	3.23	3.42	6.62	63.0	2.34	ID	Lewis County	12
Lewis County, ID	3.12	3.13	6.31	68.75	2.39	ID	Lewis County	18
Lincoln County, ID	2.5	3.5	11.5	51.0	7.4	ID	Lincoln County	1
Lincoln County, ID	2.0	2.75	10.5	78.75	7.32	ID	Lincoln County	3
Lincoln County, ID	1.83	2.33	11.33	75.33	8.13	ID	Lincoln County	6
Lincoln County, ID	2.73	3.27	11.91	56.0	6.94	ID	Lincoln County	12
Lincoln County, ID	2.93	3.43	11.5	63.14	6.05	ID	Lincoln County	18
Madison County, ID	13.0	35.5	68.5	76.0	5.6	ID	Madison County	1
Madison County, ID	12.5	27.5	65.25	74.5	5.45	ID	Madison County	3
Madison County, ID	15.71	22.43	73.14	71.29	4.97	ID	Madison County	6
Madison County, ID	22.08	33.85	88.23	56.08	4.5	ID	Madison County	12
Madison County, ID	22.06	34.06	83.5	55.69	4.19	ID	Madison County	18
Minidoka County, ID	15.5	12.0	31.5	50.0	2.15	ID	Minidoka County	1
Minidoka County, ID	14.75	11.25	34.25	51.0	2.5	ID	Minidoka County	3
Minidoka County, ID	13.29	11.57	38.86	43.57	3.5	ID	Minidoka County	6
Minidoka County, ID	14.38	16.38	36.23	30.62	2.89	ID	Minidoka County	12
Minidoka County, ID	14.25	15.75	32.56	29.31	2.59	ID	Minidoka County	18
Nez Perce County, ID	42.0	32.5	71.0	45.0	1.7	ID	Nez Perce County	1
Nez Perce County, ID	32.0	32.0	75.25	56.75	2.78	ID	Nez Perce County	3
Nez Perce County, ID	29.57	28.14	80.29	51.71	3.0	ID	Nez Perce County	6
Nez Perce County, ID	35.54	37.31	78.08	38.08	2.46	ID	Nez Perce County	12
Nez Perce County, ID	35.56	38.31	71.0	35.19	2.22	ID	Nez Perce County	18
Oneida County, ID	4.0	4.5	17.0	121.5	6.0	ID	Oneida County	1
Oneida County, ID	3.67	3.67	18.0	110.33	6.23	ID	Oneida County	3
Oneida County, ID	4.33	3.67	19.5	103.67	5.25	ID	Oneida County	6
Oneida County, ID	4.25	5.5	20.17	85.25	5.69	ID	Oneida County	12
Oneida County, ID	4.33	5.4	17.67	75.2	4.97	ID	Oneida County	18
Owyhee County, ID	7.0	6.5	21.0	63.0	3.0	ID	Owyhee County	1
Owyhee County, ID	6.75	6.25	20.0	63.5	3.62	ID	Owyhee County	3
Owyhee County, ID	6.43	6.14	21.43	63.43	3.77	ID	Owyhee County	6
Owyhee County, ID	6.92	8.92	21.77	45.23	3.51	ID	Owyhee County	12
Owyhee County, ID	7.06	8.5	19.19	44.31	3.07	ID	Owyhee County	18
Payette County, ID	28.5	23.5	65.0	67.5	2.35	ID	Payette County	1
Payette County, ID	23.25	21.0	70.5	67.75	3.6	ID	Payette County	3
Payette County, ID	22.43	20.57	76.43	59.29	3.81	ID	Payette County	6
Payette County, ID	30.15	34.0	90.08	43.85	3.35	ID	Payette County	12
Payette County, ID	31.81	34.69	83.31	40.56	2.99	ID	Payette County	18
Power County, ID	2.5	8.0	21.5	133.0	9.0	ID	Power County	1
Power County, ID	2.5	5.25	20.25	117.5	11.0	ID	Power County	3
Power County, ID	2.29	4.57	22.57	78.71	11.79	ID	Power County	6
Power County, ID	2.92	6.0	19.15	53.54	9.49	ID	Power County	12
Power County, ID	3.12	6.13	17.06	58.38	8.27	ID	Power County	18
Shoshone County, ID	18.5	27.0	54.5	50.0	3.2	ID	Shoshone County	1
Shoshone County, ID	16.0	23.25	54.5	51.25	3.78	ID	Shoshone County	3
Shoshone County, ID	18.29	22.43	60.29	43.0	3.59	ID	Shoshone County	6
Shoshone County, ID	21.69	32.31	63.46	30.77	3.18	ID	Shoshone County	12
Shoshone County, ID	20.81	29.25	54.69	27.0	2.79	ID	Shoshone County	18
Teton County, ID	1.5	3.5	8.5	174.0	6.5	ID	Teton County	1
Teton County, ID	1.33	2.67	8.0	149.0	6.67	ID	Teton County	3
Teton County, ID	2.0	2.25	8.6	103.2	5.4	ID	Teton County	6
Teton County, ID	1.8	2.89	9.2	77.8	6.3	ID	Teton County	12
Teton County, ID	2.69	3.25	9.38	73.31	5.63	ID	Teton County	18
Twin Falls County, ID	82.0	78.5	212.5	71.5	2.6	ID	Twin Falls County	1
Twin Falls County, ID	71.25	64.75	216.25	65.75	3.18	ID	Twin Falls County	3
Twin Falls County, ID	73.43	68.86	236.29	59.86	3.3	ID	Twin Falls County	6
Twin Falls County, ID	90.77	98.08	239.92	42.77	2.81	ID	Twin Falls County	12
Twin Falls County, ID	88.94	98.62	217.19	37.44	2.56	ID	Twin Falls County	18
Valley County, ID	24.5	21.5	106.5	243.5	4.85	ID	Valley County	1
Valley County, ID	22.5	20.5	148.0	185.5	8.02	ID	Valley County	3
Valley County, ID	23.0	19.43	173.14	144.29	8.8	ID	Valley County	6
Valley County, ID	30.23	38.38	172.77	100.69	6.85	ID	Valley County	12
Valley County, ID	29.0	36.06	155.88	103.94	6.33	ID	Valley County	18
Washington County, ID	9.0	10.5	29.0	56.5	3.5	ID	Washington County	1
Washington County, ID	7.25	8.75	26.75	56.75	5.25	ID	Washington County	3
Washington County, ID	8.86	7.86	29.14	49.71	4.29	ID	Washington County	6
Washington County, ID	11.08	12.92	31.38	32.69	4.02	ID	Washington County	12
Washington County, ID	11.44	13.31	29.19	33.81	3.55	ID	Washington County	18
Adams County, IL	60.5	68.0	131.0	47.0	2.25	IL	Adams County	1
Adams County, IL	50.75	60.25	133.0	48.5	2.88	IL	Adams County	3
Adams County, IL	58.71	58.86	136.0	47.14	2.53	IL	Adams County	6
Adams County, IL	66.54	68.31	154.54	47.0	2.45	IL	Adams County	12
Adams County, IL	64.06	65.5	154.62	51.81	2.59	IL	Adams County	18
Alexander County, IL	2.0	4.0	9.0	199.0	4.5	IL	Alexander County	1
Alexander County, IL	1.67	2.5	6.0	448.67	3.67	IL	Alexander County	3
Alexander County, IL	1.83	1.8	7.0	243.83	4.38	IL	Alexander County	6
Alexander County, IL	2.33	2.18	9.08	149.42	4.88	IL	Alexander County	12
Alexander County, IL	2.21	2.85	9.71	191.08	5.69	IL	Alexander County	18
Bond County, IL	9.5	11.5	29.5	72.0	3.1	IL	Bond County	1
Bond County, IL	8.25	8.75	31.5	69.25	3.95	IL	Bond County	3
Bond County, IL	8.29	9.86	33.71	59.43	4.21	IL	Bond County	6
Bond County, IL	11.62	11.85	34.85	57.23	3.46	IL	Bond County	12
Bond County, IL	11.75	11.5	34.81	65.12	3.34	IL	Bond County	18
Boone County, IL	38.0	59.5	53.5	13.0	1.4	IL	Boone County	1
Boone County, IL	34.25	42.75	52.25	33.0	1.55	IL	Boone County	3
Boone County, IL	40.86	41.29	65.0	31.0	1.61	IL	Boone County	6
Boone County, IL	51.31	53.92	86.0	31.38	1.68	IL	Boone County	12
Boone County, IL	53.31	52.94	88.12	34.88	1.67	IL	Boone County	18
Brown County, IL	4.0	3.0	13.5	71.5	3.5	IL	Brown County	1
Brown County, IL	3.5	4.0	14.5	64.25	4.32	IL	Brown County	3
Brown County, IL	3.29	3.57	13.71	76.57	4.27	IL	Brown County	6
Brown County, IL	3.92	3.69	11.77	125.15	3.25	IL	Brown County	12
Brown County, IL	3.62	3.62	11.56	189.62	3.94	IL	Brown County	18
Bureau County, IL	19.0	31.0	70.0	78.0	3.85	IL	Bureau County	1
Bureau County, IL	17.75	23.0	68.5	75.5	3.95	IL	Bureau County	3
Bureau County, IL	23.0	24.43	78.0	67.86	3.57	IL	Bureau County	6
Bureau County, IL	26.46	30.62	83.92	60.08	3.31	IL	Bureau County	12
Bureau County, IL	25.88	29.12	82.25	59.25	3.32	IL	Bureau County	18
Calhoun County, IL	2.0	3.0	9.0	180.0	4.5	IL	Calhoun County	1
Calhoun County, IL	1.33	2.0	7.0	101.0	5.5	IL	Calhoun County	3
Calhoun County, IL	2.5	2.6	6.5	84.0	3.7	IL	Calhoun County	6
Calhoun County, IL	2.64	2.3	6.0	82.9	3.66	IL	Calhoun County	12
Calhoun County, IL	2.71	2.08	7.14	90.08	3.88	IL	Calhoun County	18
Carroll County, IL	12.0	29.0	49.5	73.5	4.15	IL	Carroll County	1
Carroll County, IL	11.25	19.75	45.25	60.0	4.28	IL	Carroll County	3
Carroll County, IL	13.86	17.14	49.86	64.14	3.84	IL	Carroll County	6
Carroll County, IL	15.23	20.69	51.69	59.92	3.74	IL	Carroll County	12
Carroll County, IL	14.19	18.75	48.06	67.62	3.74	IL	Carroll County	18
Cass County, IL	2.0	1.0	1.5	133.0	0.85	IL	Cass County	1
Cass County, IL	2.75	2.0	4.0	102.5	2.62	IL	Cass County	3
Cass County, IL	2.86	2.5	5.43	87.29	2.54	IL	Cass County	6
Cass County, IL	3.15	3.5	6.69	63.0	2.93	IL	Cass County	12
Cass County, IL	3.13	3.46	6.87	67.33	2.89	IL	Cass County	18
Champaign County, IL	172.0	223.5	348.0	42.0	2.0	IL	Champaign County	1
Champaign County, IL	144.25	181.0	329.5	52.75	2.35	IL	Champaign County	3
Champaign County, IL	161.57	157.0	358.14	53.29	2.26	IL	Champaign County	6
Champaign County, IL	211.69	221.62	441.38	48.69	2.15	IL	Champaign County	12
Champaign County, IL	202.25	220.38	430.62	46.94	2.19	IL	Champaign County	18
Christian County, IL	24.0	33.5	45.5	38.0	2.0	IL	Christian County	1
Christian County, IL	25.0	27.75	49.25	52.0	2.15	IL	Christian County	3
Christian County, IL	27.71	26.57	55.29	45.57	2.14	IL	Christian County	6
Christian County, IL	29.15	31.85	60.69	45.23	2.18	IL	Christian County	12
Christian County, IL	28.25	30.31	61.69	51.75	2.29	IL	Christian County	18
Clark County, IL	9.0	10.5	30.0	56.5	3.65	IL	Clark County	1
Clark County, IL	6.25	9.75	27.75	53.25	9.15	IL	Clark County	3
Clark County, IL	7.71	8.57	25.0	52.57	6.19	IL	Clark County	6
Clark County, IL	7.46	9.23	25.77	61.38	5.12	IL	Clark County	12
Clark County, IL	8.38	8.75	25.94	69.19	4.59	IL	Clark County	18
Clay County, IL	8.0	8.0	9.5	26.5	1.2	IL	Clay County	1
Clay County, IL	5.5	6.75	8.25	27.75	1.75	IL	Clay County	3
Clay County, IL	5.29	6.0	7.29	21.14	1.51	IL	Clay County	6
Clay County, IL	6.69	6.38	10.77	35.38	1.86	IL	Clay County	12
Clay County, IL	6.25	6.44	11.56	42.12	2.39	IL	Clay County	18
Clinton County, IL	17.5	26.0	49.0	52.5	2.85	IL	Clinton County	1
Clinton County, IL	14.25	22.25	46.25	51.0	3.4	IL	Clinton County	3
Clinton County, IL	14.14	19.29	44.86	53.43	3.27	IL	Clinton County	6
Clinton County, IL	17.92	20.46	45.54	51.38	2.82	IL	Clinton County	12
Clinton County, IL	18.19	19.38	43.12	52.88	2.61	IL	Clinton County	18
Coles County, IL	41.0	45.0	72.0	47.0	1.8	IL	Coles County	1
Coles County, IL	37.5	40.25	77.75	53.0	2.15	IL	Coles County	3
Coles County, IL	38.57	38.57	87.14	40.14	2.31	IL	Coles County	6
Coles County, IL	47.15	48.69	103.54	46.08	2.25	IL	Coles County	12
Coles County, IL	46.06	48.56	109.0	51.0	2.46	IL	Coles County	18
Cook County, IL	4791.5	5956.5	14061.0	57.0	2.95	IL	Cook County	1
Cook County, IL	3826.25	5230.5	14102.25	68.25	3.95	IL	Cook County	3
Cook County, IL	3944.57	4624.29	14924.14	66.57	3.93	IL	Cook County	6
Cook County, IL	5142.15	6150.08	17166.54	60.0	3.54	IL	Cook County	12
Cook County, IL	5139.75	6343.88	16980.31	57.81	3.47	IL	Cook County	18
Crawford County, IL	3.5	6.0	13.0	85.0	3.9	IL	Crawford County	1
Crawford County, IL	3.5	4.25	13.0	67.0	3.85	IL	Crawford County	3
Crawford County, IL	3.0	4.71	14.57	68.57	5.39	IL	Crawford County	6
Crawford County, IL	3.62	5.0	14.23	69.23	5.2	IL	Crawford County	12
Crawford County, IL	3.38	4.75	13.44	97.5	5.04	IL	Crawford County	18
Cumberland County, IL	4.5	6.0	13.5	21.5	3.1	IL	Cumberland County	1
Cumberland County, IL	3.5	7.0	15.25	47.5	7.05	IL	Cumberland County	3
Cumberland County, IL	3.86	5.71	12.0	38.43	5.0	IL	Cumberland County	6
Cumberland County, IL	4.62	5.62	11.62	45.77	3.8	IL	Cumberland County	12
Cumberland County, IL	4.56	5.19	11.75	51.5	3.68	IL	Cumberland County	18
De Witt County, IL	11.0	14.0	25.5	52.5	2.75	IL	De Witt County	1
De Witt County, IL	11.75	11.5	24.75	71.25	2.5	IL	De Witt County	3
De Witt County, IL	12.71	11.86	27.71	57.86	2.41	IL	De Witt County	6
De Witt County, IL	16.08	16.54	33.15	52.0	2.29	IL	De Witt County	12
De Witt County, IL	15.12	15.81	32.69	50.0	2.43	IL	De Witt County	18
DeKalb County, IL	87.5	98.5	183.5	47.5	2.1	IL	DeKalb County	1
DeKalb County, IL	74.0	80.5	181.75	56.5	2.55	IL	DeKalb County	3
DeKalb County, IL	82.0	75.86	200.43	55.14	2.5	IL	DeKalb County	6
DeKalb County, IL	102.85	109.08	246.23	51.0	2.45	IL	DeKalb County	12
DeKalb County, IL	99.94	106.88	239.44	49.38	2.45	IL	DeKalb County	18
Douglas County, IL	18.0	12.0	38.5	44.5	2.15	IL	Douglas County	1
Douglas County, IL	14.0	13.75	43.5	41.75	3.53	IL	Douglas County	3
Douglas County, IL	12.57	14.43	43.43	43.14	3.83	IL	Douglas County	6
Douglas County, IL	15.85	17.62	43.92	46.92	3.13	IL	Douglas County	12
Douglas County, IL	15.38	16.94	42.75	47.38	3.12	IL	Douglas County	18
DuPage County, IL	860.0	1014.0	1831.5	47.5	2.15	IL	DuPage County	1
DuPage County, IL	704.25	855.5	1760.0	56.25	2.62	IL	DuPage County	3
DuPage County, IL	745.29	761.43	1883.71	56.43	2.6	IL	DuPage County	6
DuPage County, IL	1007.92	1076.92	2352.77	52.15	2.42	IL	DuPage County	12
DuPage County, IL	994.75	1096.88	2317.69	49.88	2.41	IL	DuPage County	18
Edgar County, IL	13.5	13.5	23.5	57.5	1.85	IL	Edgar County	1
Edgar County, IL	11.75	11.25	28.0	68.0	2.95	IL	Edgar County	3
Edgar County, IL	10.0	11.29	34.29	51.86	4.51	IL	Edgar County	6
Edgar County, IL	13.0	13.15	35.54	55.62	3.49	IL	Edgar County	12
Edgar County, IL	12.94	12.75	36.62	59.88	3.47	IL	Edgar County	18
Edwards County, IL	1.0			13.0		IL	Edwards County	12
Edwards County, IL	1.0			13.0		IL	Edwards County	18
Effingham County, IL	18.5	22.0	38.0	28.0	2.05	IL	Effingham County	1
Effingham County, IL	15.5	19.0	38.0	42.0	2.55	IL	Effingham County	3
Effingham County, IL	18.0	18.0	43.43	39.0	2.51	IL	Effingham County	6
Effingham County, IL	24.46	25.38	53.77	45.46	2.38	IL	Effingham County	12
Effingham County, IL	23.94	25.5	55.69	47.38	2.51	IL	Effingham County	18
Fayette County, IL	7.5	17.5	55.0	56.5	7.4	IL	Fayette County	1
Fayette County, IL	7.0	15.25	50.75	62.0	7.3	IL	Fayette County	3
Fayette County, IL	9.57	13.43	45.43	63.0	10.63	IL	Fayette County	6
Fayette County, IL	10.23	13.54	43.0	65.31	7.49	IL	Fayette County	12
Fayette County, IL	10.38	12.94	42.69	67.88	7.01	IL	Fayette County	18
Ford County, IL	9.5	14.5	25.0	75.5	2.6	IL	Ford County	1
Ford County, IL	9.75	10.25	24.25	69.25	2.55	IL	Ford County	3
Ford County, IL	12.14	10.86	29.43	62.0	2.49	IL	Ford County	6
Ford County, IL	13.38	13.77	34.0	56.23	2.66	IL	Ford County	12
Ford County, IL	13.31	13.94	35.75	55.31	2.79	IL	Ford County	18
Franklin County, IL	23.0	36.0	95.5	111.5	4.9	IL	Franklin County	1
Franklin County, IL	28.0	30.0	92.75	108.0	3.82	IL	Franklin County	3
Franklin County, IL	29.29	31.57	107.0	91.29	3.97	IL	Franklin County	6
Franklin County, IL	30.77	36.31	114.31	85.31	3.88	IL	Franklin County	12
Franklin County, IL	29.62	34.94	115.0	83.56	4.07	IL	Franklin County	18
Fulton County, IL	31.5	32.0	75.5	61.0	2.45	IL	Fulton County	1
Fulton County, IL	24.25	30.5	78.0	62.0	3.8	IL	Fulton County	3
Fulton County, IL	24.43	28.86	81.71	58.71	3.69	IL	Fulton County	6
Fulton County, IL	30.38	34.54	85.15	47.23	3.12	IL	Fulton County	12
Fulton County, IL	27.94	33.31	86.69	54.06	3.64	IL	Fulton County	18
Gallatin County, IL	2.0	1.0	5.0	105.0	2.5	IL	Gallatin County	1
Gallatin County, IL	2.0	1.0	5.5	115.5	2.75	IL	Gallatin County	3
Gallatin County, IL	1.4	2.0	6.4	139.2	5.3	IL	Gallatin County	6
Gallatin County, IL	2.0	2.11	6.2	107.7	4.66	IL	Gallatin County	12
Gallatin County, IL	1.92	2.27	6.33	125.25	4.84	IL	Gallatin County	18
Greene County, IL	2.5	7.5	13.5	76.0	5.75	IL	Greene County	1
Greene County, IL	3.33	5.67	11.33	78.33	4.3	IL	Greene County	3
Greene County, IL	4.33	4.83	12.83	61.17	4.22	IL	Greene County	6
Greene County, IL	3.75	5.08	12.25	49.3	4.51	IL	Greene County	12
Greene County, IL	3.47	4.71	10.47	49.3	4.05	IL	Greene County	18
Grundy County, IL	53.5	56.0	115.5	50.5	2.15	IL	Grundy County	1
Grundy County, IL	40.5	50.5	116.0	52.0	3.25	IL	Grundy County	3
Grundy County, IL	42.57	44.43	118.43	56.14	3.03	IL	Grundy County	6
Grundy County, IL	53.85	58.69	137.62	51.92	2.74	IL	Grundy County	12
Grundy County, IL	52.88	57.81	135.44	52.12	2.72	IL	Grundy County	18
Hamilton County, IL	3.0	3.0	9.0	169.0	3.0	IL	Hamilton County	1
Hamilton County, IL	3.0	2.33	9.67	111.33	3.6	IL	Hamilton County	3
Hamilton County, IL	3.4	2.6	10.8	99.8	3.46	IL	Hamilton County	6
Hamilton County, IL	2.73	3.2	9.09	87.27	3.85	IL	Hamilton County	12
Hamilton County, IL	3.07	3.23	10.21	93.93	4.03	IL	Hamilton County	18
Hancock County, IL	9.5	12.0	43.5	60.0	4.7	IL	Hancock County	1
Hancock County, IL	8.25	12.0	40.25	80.0	5.1	IL	Hancock County	3
Hancock County, IL	9.86	11.29	39.71	79.29	4.34	IL	Hancock County	6
Hancock County, IL	12.62	13.15	46.46	74.85	3.96	IL	Hancock County	12
Hancock County, IL	11.56	13.5	48.25	86.5	4.74	IL	Hancock County	18
Hardin County, IL	4.0	2.0	9.0	55.0	2.3	IL	Hardin County	1
Hardin County, IL	2.67	2.0	9.67	119.67	4.1	IL	Hardin County	3
Hardin County, IL	2.5	2.17	9.83	111.17	5.22	IL	Hardin County	6
Hardin County, IL	2.55	2.91	10.0	116.5	5.45	IL	Hardin County	12
Hardin County, IL	2.31	2.75	9.38	120.27	5.53	IL	Hardin County	18
Henderson County, IL	5.5	4.0	14.0	68.0	2.6	IL	Henderson County	1
Henderson County, IL	4.25	3.75	14.25	59.5	3.72	IL	Henderson County	3
Henderson County, IL	3.43	4.71	15.71	68.29	5.49	IL	Henderson County	6
Henderson County, IL	3.85	4.38	13.46	75.15	4.5	IL	Henderson County	12
Henderson County, IL	3.75	4.25	13.75	92.62	4.6	IL	Henderson County	18
Henry County, IL	23.0	29.0	46.0	47.5	2.1	IL	Henry County	1
Henry County, IL	23.0	23.5	48.75	41.75	2.17	IL	Henry County	3
Henry County, IL	25.29	26.0	56.14	38.0	2.31	IL	Henry County	6
Henry County, IL	33.92	36.15	58.23	32.38	1.9	IL	Henry County	12
Henry County, IL	33.56	35.5	61.06	36.94	1.99	IL	Henry County	18
Iroquois County, IL	17.5	24.0	80.0	72.0	4.7	IL	Iroquois County	1
Iroquois County, IL	16.0	23.0	82.25	78.25	5.28	IL	Iroquois County	3
Iroquois County, IL	20.0	21.29	84.71	72.0	4.54	IL	Iroquois County	6
Iroquois County, IL	25.23	28.15	92.0	66.69	3.97	IL	Iroquois County	12
Iroquois County, IL	23.88	27.12	90.0	67.88	4.09	IL	Iroquois County	18
Jackson County, IL	28.0	50.0	159.5	87.0	6.45	IL	Jackson County	1
Jackson County, IL	30.5	38.25	151.25	73.75	5.45	IL	Jackson County	3
