county_qualified_name	homes_sold_redfin	new_listings_redfin	inventory_redfin	median_dom_redfin	months_of_supply_redfin	state_code	county_name	months_averaged_redfin	Total Comps	For Sale Comps (All)	Sold Comps (All)	Sold Comps (6m)	Sold Comps (3m)	Listed Comps (12m)	Listed Comps (6m)	Listed Comps (3m)	Sold-For Sale Ratio	Sold-Listed Ratio (12m)	Sold-Listed Ratio (6m)	Sold-Listed Ratio (3m)	Parcels on Market Ratio	Total DataTree Parcels	Total Out of State Owner Parcels	Total Out of County Owner Parcels	Out of State to Total Ratio	Out of County to Total Ratio	Coefficient of Variation	Coefficient of Variation (6m)	Coefficient of Variation (3m)	Days on Market	MoM Price Change %	Economic Rank	Economic Score	Population	Population Change (2010-2019)	Population Change %	Population-Sq Mile	property_count
Lafayette County, AR	1.4	1.33	1.75	47.2	1.38	AR	Lafayette County	12	226	182	44	3	3	71	71	67	0.24	0.62	0.04	0.04	0.021	8684	2737	4875	0.315	0.561	0.26	0.24	0.24	92.7	6.75	2297.0	-0.81	6624	-1023	-15.4	12.2	8,531
Lafayette County, AR	1.43	1.25	1.67	86.86	1.33	AR	Lafayette County	18	226	182	44	3	3	71	71	67	0.24	0.62	0.04	0.04	0.021	8684	2737	4875	0.315	0.561	0.26	0.24	0.24	92.7	6.75	2297.0	-0.81	6624	-1023	-15.4	12.2	8,531
Lafayette County, AR	1.43	1.25	1.67	86.86	1.33	AR	Lafayette County	18	226	182	44	3	3	71	71	67	0.24	0.62	0.04	0.04	0.021	8684	2737	4875	0.315	0.561	0.26	0.24	0.24	92.7	6.75	2297.0	-0.81	6624	-1023	-15.4	12.2	8,531
Lafayette County, AR	1.43	1.25	1.67	86.86	1.33	AR	Lafayette County	18	226	182	44	3	3	71	71	67	0.24	0.62	0.04	0.04	0.021	8684	2737	4875	0.315	0.561	0.26	0.24	0.24	92.7	6.75	2297.0	-0.81	6624	-1023	-15.4	12.2	8,531
Lafayette County, AR	1.43	1.25	1.67	86.86	1.33	AR	Lafayette County	18	226	182	44	3	3	71	71	67	0.24	0.62	0.04	0.04	0.021	8684	2737	4875	0.315	0.561	0.26	0.24	0.24	92.7	6.75	2297.0	-0.81	6624	-1023	-15.4	12.2	8,531
Lawrence County, AR	5.5	10.0	28.5	40.5	5.7	AR	Lawrence County	1	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	5.5	10.0	28.5	40.5	5.7	AR	Lawrence County	1	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	5.5	10.0	28.5	40.5	5.7	AR	Lawrence County	1	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	5.5	10.0	28.5	40.5	5.7	AR	Lawrence County	1	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	4.75	9.75	26.5	38.0	6.28	AR	Lawrence County	3	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	4.75	9.75	26.5	38.0	6.28	AR	Lawrence County	3	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	4.75	9.75	26.5	38.0	6.28	AR	Lawrence County	3	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	4.75	9.75	26.5	38.0	6.28	AR	Lawrence County	3	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	7.0	9.43	25.71	39.43	4.63	AR	Lawrence County	6	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	7.0	9.43	25.71	39.43	4.63	AR	Lawrence County	6	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	7.0	9.43	25.71	39.43	4.63	AR	Lawrence County	6	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	7.0	9.43	25.71	39.43	4.63	AR	Lawrence County	6	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	8.08	9.46	26.08	48.46	3.91	AR	Lawrence County	12	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	8.08	9.46	26.08	48.46	3.91	AR	Lawrence County	12	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	8.08	9.46	26.08	48.46	3.91	AR	Lawrence County	12	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	8.08	9.46	26.08	48.46	3.91	AR	Lawrence County	12	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	8.12	9.5	26.12	57.94	3.81	AR	Lawrence County	18	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	8.12	9.5	26.12	57.94	3.81	AR	Lawrence County	18	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	8.12	9.5	26.12	57.94	3.81	AR	Lawrence County	18	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lawrence County, AR	8.12	9.5	26.12	57.94	3.81	AR	Lawrence County	18	220	157	63	17	9	67	55	42	0.4	0.94	0.31	0.21	0.021	7637	667	2627	0.087	0.344	0.54	0.49	0.5	138.6	0.32	1909.0	-0.41	16406	-1112	-6.8	27.7	4,666
Lee County, AR	2.0	1.5	4.5	31.5	3.15	AR	Lee County	1	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	2.0	1.5	4.5	31.5	3.15	AR	Lee County	1	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	2.0	1.5	4.5	31.5	3.15	AR	Lee County	1	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	2.0	1.5	4.5	31.5	3.15	AR	Lee County	1	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.67	4.33	63.33	3.43	AR	Lee County	3	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.67	4.33	63.33	3.43	AR	Lee County	3	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.67	4.33	63.33	3.43	AR	Lee County	3	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.67	4.33	63.33	3.43	AR	Lee County	3	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.67	4.33	63.33	3.43	AR	Lee County	6	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.67	4.33	63.33	3.43	AR	Lee County	6	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.67	4.33	63.33	3.43	AR	Lee County	6	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.67	4.33	63.33	3.43	AR	Lee County	6	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.6	1.75	3.5	62.75	2.82	AR	Lee County	12	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.6	1.75	3.5	62.75	2.82	AR	Lee County	12	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.6	1.75	3.5	62.75	2.82	AR	Lee County	12	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.6	1.75	3.5	62.75	2.82	AR	Lee County	12	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.75	3.0	65.8	2.36	AR	Lee County	18	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.75	3.0	65.8	2.36	AR	Lee County	18	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.75	3.0	65.8	2.36	AR	Lee County	18	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lee County, AR	1.67	1.75	3.0	65.8	2.36	AR	Lee County	18	72	60	12	1	1	5	3	0	0.2	2.4	0.33	1.0	0.009	6368	1380	2992	0.217	0.47	0.24	0.23	0.23	561.2	-2.12	2362.0	-0.88	8857	-1538	-17.4	14.3	7,310
Lincoln County, AR	2.5	2.5	12.5	33.0	5.15	AR	Lincoln County	1	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	2.5	2.5	12.5	33.0	5.15	AR	Lincoln County	1	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	2.5	2.5	12.5	33.0	5.15	AR	Lincoln County	1	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	2.5	2.5	12.5	33.0	5.15	AR	Lincoln County	1	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.67	3.0	12.67	51.0	4.17	AR	Lincoln County	3	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.67	3.0	12.67	51.0	4.17	AR	Lincoln County	3	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.67	3.0	12.67	51.0	4.17	AR	Lincoln County	3	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.67	3.0	12.67	51.0	4.17	AR	Lincoln County	3	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	2.67	2.67	14.17	46.5	8.03	AR	Lincoln County	6	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	2.67	2.67	14.17	46.5	8.03	AR	Lincoln County	6	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	2.67	2.67	14.17	46.5	8.03	AR	Lincoln County	6	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	2.67	2.67	14.17	46.5	8.03	AR	Lincoln County	6	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.08	3.58	12.67	59.0	5.85	AR	Lincoln County	12	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.08	3.58	12.67	59.0	5.85	AR	Lincoln County	12	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.08	3.58	12.67	59.0	5.85	AR	Lincoln County	12	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.08	3.58	12.67	59.0	5.85	AR	Lincoln County	12	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.0	3.57	12.07	61.64	5.69	AR	Lincoln County	18	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.0	3.57	12.07	61.64	5.69	AR	Lincoln County	18	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.0	3.57	12.07	61.64	5.69	AR	Lincoln County	18	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Lincoln County, AR	3.0	3.57	12.07	61.64	5.69	AR	Lincoln County	18	164	120	44	19	13	24	16	5	0.37	1.83	1.19	2.6	0.019	6187	1048	3071	0.169	0.496	0.21	0.21	0.21	136.1	3.39	2582.0	-1.15	13024	-1065	-8.2	22.8	7,349
Little River County, AR	2.5	1.5	6.5	38.0	2.75	AR	Little River County	1	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.5	1.5	6.5	38.0	2.75	AR	Little River County	1	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.5	1.5	6.5	38.0	2.75	AR	Little River County	1	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.5	1.5	6.5	38.0	2.75	AR	Little River County	1	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	1.75	2.0	7.75	65.25	5.88	AR	Little River County	3	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	1.75	2.0	7.75	65.25	5.88	AR	Little River County	3	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	1.75	2.0	7.75	65.25	5.88	AR	Little River County	3	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	1.75	2.0	7.75	65.25	5.88	AR	Little River County	3	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	1.86	2.0	8.14	73.57	5.74	AR	Little River County	6	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	1.86	2.0	8.14	73.57	5.74	AR	Little River County	6	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	1.86	2.0	8.14	73.57	5.74	AR	Little River County	6	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	1.86	2.0	8.14	73.57	5.74	AR	Little River County	6	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.54	2.73	10.54	67.15	6.32	AR	Little River County	12	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.54	2.73	10.54	67.15	6.32	AR	Little River County	12	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.54	2.73	10.54	67.15	6.32	AR	Little River County	12	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.54	2.73	10.54	67.15	6.32	AR	Little River County	12	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.53	2.77	10.4	70.33	6.25	AR	Little River County	18	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.53	2.77	10.4	70.33	6.25	AR	Little River County	18	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.53	2.77	10.4	70.33	6.25	AR	Little River County	18	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Little River County, AR	2.53	2.77	10.4	70.33	6.25	AR	Little River County	18	217	156	61	4	3	28	22	4	0.39	2.18	0.18	0.75	0.02	7624	2006	3119	0.263	0.409	0.36	0.33	0.33	305.2	3.07	1691.0	-0.22	12259	-873	-7.1	21.7	14,116
Logan County, AR	18.0	13.0	39.5	108.0	2.45	AR	Logan County	1	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
Logan County, AR	18.0	13.0	39.5	108.0	2.45	AR	Logan County	1	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
Logan County, AR	18.0	13.0	39.5	108.0	2.45	AR	Logan County	1	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
Logan County, AR	18.0	13.0	39.5	108.0	2.45	AR	Logan County	1	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
Logan County, AR	12.5	13.25	44.25	105.5	4.82	AR	Logan County	3	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
Logan County, AR	12.5	13.25	44.25	105.5	4.82	AR	Logan County	3	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
Logan County, AR	12.5	13.25	44.25	105.5	4.82	AR	Logan County	3	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
Logan County, AR	12.5	13.25	44.25	105.5	4.82	AR	Logan County	3	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
Logan County, AR	11.29	11.57	43.71	104.57	4.73	AR	Logan County	6	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
Logan County, AR	11.29	11.57	43.71	104.57	4.73	AR	Logan County	6	427	395	32	14	11	55	45	33	0.08	0.58	0.31	0.33	0.047	8329	905	2832	0.109	0.34	0.77	0.76	0.76	294.2	-3.01	637.0	0.85	21466	-842	-3.9	29.3	19,681
