County	State	property_count	population_2015	square_miles	people/sqmiles
DeKalb County	Georgia	"237,055"	"713,340"	271	2631
Dodge County	Georgia	"11,837"	"21,221"	503	42
Dooly County	Georgia	"7,169"	"14,304"	397	36
Dougherty County	Georgia	"35,732"	"92,969"	335	278
Douglas County	Georgia	"53,588"	"136,379"	201	678
Early County	Georgia	"8,242"	"10,542"	516	20
Echols County	Georgia	"1,958"	"4,057"	421	10
Effingham County	Georgia	"29,275"	"54,456"	483	113
Elbert County	Georgia	"13,856"	"19,599"	374	52
Emanuel County	Georgia	"14,681"	"22,867"	690	33
Evans County	Georgia	"6,548"	"10,833"	187	58
Fannin County	Georgia	"26,482"	"23,760"	392	61
Fayette County	Georgia	"44,529"	"108,365"	199	544
Floyd County	Georgia	"50,563"	"95,821"	518	185
Forsyth County	Georgia	"88,405"	"195,405"	247	791
Franklin County	Georgia	"15,830"	"22,009"	266	83
Fulton County	Georgia	"5,530"	"1,010,562"	534	1842
Gilmer County	Georgia	"34,312"	"28,579"	431	66
Glascock County	Georgia	"2,307"	"3,102"	144	21
Glynn County	Georgia	"42,949"	"81,508"	585	139
Gordon County	Georgia	"27,109"	"55,757"	358	156
Grady County	Georgia	"13,985"	"25,278"	460	55
Greene County	Georgia	"16,501"	"16,321"	406	40
Gwinnett County	Georgia	"274,270"	"859,304"	437	1967
Habersham County	Georgia	"23,447"	"43,300"	279	155
Hall County	Georgia	"76,759"	"187,745"	429	437
Hancock County	Georgia	"11,005"	"8,879"	479	19
Haralson County	Georgia	"16,565"	"28,495"	283	101
Harris County	Georgia	"19,277"	"32,663"	473	69
Hart County	Georgia	"17,957"	"25,446"	257	99
Heard County	Georgia	"6,684"	"11,558"	301	38
Henry County	Georgia	"85,802"	"211,128"	327	647
Houston County	Georgia	"62,184"	"147,658"	380	389
Irwin County	Georgia	"6,694"	"9,427"	363	26
Jackson County	Georgia	"32,791"	"61,044"	343	178
Jasper County	Georgia	"9,992"	"13,601"	373	36
Jeff Davis County	Georgia	"7,435"	"15,004"	335	45
Jefferson County	Georgia	"11,452"	"16,320"	530	31
Jenkins County	Georgia	"6,444"	"9,269"	352	26
Johnson County	Georgia	"5,581"	"9,767"	307	32
Jones County	Georgia	"15,475"	"28,569"	395	72
Lamar County	Georgia	"9,197"	"17,959"	186	97
Lanier County	Georgia	"5,186"	"10,408"	200	52
Laurens County	Georgia	"28,649"	"47,999"	818	59
Lee County	Georgia	"13,661"	"29,071"	362	80
Liberty County	Georgia	"25,401"	"64,135"	603	106
Lincoln County	Georgia	"8,682"	"7,751"	257	30
Long County	Georgia	"6,724"	"16,624"	404	41
Lowndes County	Georgia	"49,235"	"112,916"	511	221
Lumpkin County	Georgia	"16,795"	"30,918"	284	109
Macon County	Georgia	"8,004"	"14,009"	406	35
Madison County	Georgia	"16,190"	"28,057"	286	98
Marion County	Georgia	"5,320"	"8,640"	367	24
McDuffie County	Georgia	"12,388"	"21,565"	266	81
McIntosh County	Georgia	"12,660"	"14,007"	574	24
Meriwether County	Georgia	"16,145"	"21,232"	505	42
Miller County	Georgia	"4,101"	"5,932"	284	21
Mitchell County	Georgia	"11,807"	"23,045"	514	45
Monroe County	Georgia	"15,726"	"26,984"	398	68
Montgomery County	Georgia	"6,009"	"9,021"	245	37
Morgan County	Georgia	"11,972"	"17,781"	355	50
Murray County	Georgia	"17,947"	"39,267"	347	113
Muscogee County	Georgia	"69,623"	"202,824"	221	918
Newton County	Georgia	"44,688"	"102,446"	279	367
Oconee County	Georgia	"17,760"	"34,035"	186	183
Oglethorpe County	Georgia	"9,735"	"14,548"	442	33
Paulding County	Georgia	"64,779"	"146,950"	314	467
Peach County	Georgia	"13,577"	"27,014"	151	179
Pickens County	Georgia	"20,930"	"29,584"	233	127
Pierce County	Georgia	"12,258"	"18,938"	343	55
Pike County	Georgia	"9,343"	"17,796"	219	81
Polk County	Georgia	"23,506"	"41,183"	312	132
Pulaski County	Georgia	"6,267"	"11,542"	251	46
Putnam County	Georgia	"19,068"	"21,371"	361	59
Quitman County	Georgia	"3,077"	"2,367"	161	15
Rabun County	Georgia	"17,499"	"16,235"	377	43
Randolph County	Georgia	"5,502"	"7,197"	431	17
Richmond County	Georgia	"80,975"	"202,003"	329	615
Rockdale County	Georgia	"35,288"	"86,919"	132	658
Schley County	Georgia	"2,686"	"5,089"	168	30
Screven County	Georgia	"10,845"	"14,240"		
Seminole County	Georgia	"7,891"	"8,945"	257	35
Spalding County	Georgia	"31,303"	"63,829"		
Stephens County	Georgia	"16,767"	"25,683"	184	139
Stewart County	Georgia	"4,041"	"5,868"	464	13
Sumter County	Georgia	"16,518"	"31,364"	493	64
Talbot County	Georgia	"6,473"	"6,456"	395	16
Taliaferro County	Georgia	"2,173"	"1,703"		
Tattnall County	Georgia	"12,410"	"25,526"	488	52
Taylor County	Georgia	"6,018"	"8,464"	380	22
Telfair County	Georgia	"8,573"	"16,591"	444	37
Terrell County	Georgia	"6,392"	"9,022"	338	27
Thomas County	Georgia	"24,163"	"44,869"	552	81
Tift County	Georgia	"18,450"	"40,286"	269	150
Toombs County	Georgia	"15,690"	"27,273"	371	74
Towns County	Georgia	"14,227"	"10,771"	172	63
Treutlen County	Georgia	"4,095"	"6,712"	202	33
Troup County	Georgia	"33,754"	"69,053"	446	155
Turner County	Georgia	"5,533"	"8,134"	290	28
Twiggs County	Georgia	"6,760"	"8,481"	363	23
Union County	Georgia	"23,343"	"21,566"	329	66
Upson County	Georgia	"15,570"	"26,566"	328	81
Walker County	Georgia	"33,875"	"68,198"	447	153
Walton County	Georgia	"39,047"	"85,754"	330	260
Ware County	Georgia	"23,451"	"35,709"	908	39
Warren County	Georgia	"4,558"	"5,558"	287	19
Washington County	Georgia	"12,676"	"20,676"	684	30
Wayne County	Georgia	"17,174"	"30,077"	649	46
Webster County	Georgia	"1,874"	"2,719"	210	13
Wheeler County	Georgia	"4,035"	"7,909"	300	26
White County	Georgia	"19,769"	"27,797"	242	115
Whitfield County	Georgia	"43,353"	"102,945"	291	354
Wilcox County	Georgia	"5,57"	"8,960"	382	23
Wilkes County	Georgia	"7,733"	"10,010"	474	21
Wilkinson County	Georgia	"7,437"	"9,432"	452	21
Worth County	Georgia	"12,089"	"21,291"	575	37
Hawaii County	Hawaiʻi	"134,752"	"190,821"	"5,086"	38
"Honolulu, City and of County"	Hawaiʻi	"202,484"	"983,429"	"2,128"	462
Kalawao County	Hawaiʻi	"134,752"	90		
Kauai County	Hawaiʻi	"28,632"	"69,512"	"1,266"	55
Maui County	Hawaiʻi	"50,110"	"160,202"	"2,398"	6
Ada County	Idaho	"176,584"	"416,464"	"1,060"	393
Adams County	Idaho	"8,027"	"3,828"	"1,370"	3
Bannock County	Idaho	"42,252"	"83,249"	"1,147"	73
Bear Lake County	Idaho	"15,380"	"5,943"	"1,049"	6
Benewah County	Idaho	"10,963"	"9,044"	784	12
Bingham County	Idaho	"34,086"	"45,290"	"2,120"	21
Blaine County	Idaho	"23,280"	"21,329"	"2,661"	8
Boise County	Idaho	"12,983"	"6,795"	"1,907"	4
Bonner County	Idaho	"43,062"	"40,699"	"1,919"	21
Bonneville County	Idaho	"54,061"	"107,517"	"1,901"	57
Boundary County	Idaho	"19,395"	"10,853"	"1,278"	8
Butte County	Idaho	"5,336"	"2,642"	"2,234"	1
Camas County	Idaho	"4,425"	"1,042"	"1,079"	1
Canyon County	Idaho	"85,301"	"198,871"	604	330
Caribou County	Idaho	"8,543"	"6,808"	"1,799"	4
Cassia County	Idaho	"9,000"	"23,331"	"2,580"	9
Clark County	Idaho	"3,271"	867	"1,765"	0
Clearwater County	Idaho	"10,980"	"8,577"	"2,488"	3
Custer County	Idaho	"13,755"	"4,249"	"4,937"	1
Elmore County	Idaho	"20,515"	"26,170"	"3,101"	8
Franklin County	Idaho	"10,278"	"12,854"	668	19
Fremont County	Idaho	"23,935"	"12,927"	"1,896"	7
Gem County	Idaho	"10,815"	"16,686"	566	30
Gooding County	Idaho	"9,454"	"15,080"	734	21
Idaho County	Idaho	"33,725"	"16,116"	"8,503"	2
Jefferson County	Idaho	"16,065"	"26,914"	"1,106"	24
Jerome County	Idaho	"19,728"	"22,514"	602	37
Kootenai County	Idaho	"80,683"	"144,265"	"1,316"	110
Latah County	Idaho	"19,514"	"38,078"	"1,077"	35
Lemhi County	Idaho	"16,829"	"7,712"	"4,569"	2
Lewis County	Idaho	"5,011"	"3,902"	480	8
Lincoln County	Idaho	"7,732"	"5,315"	"1,206"	4
Madison County	Idaho	"13,238"	"37,450"	473	473
Minidoka County	Idaho	"11,878"	"20,292"	763	27
Nez Perce County	Idaho	"24,841"	"39,915"	856	47
Oneida County	Idaho	"10,221"	"4,275"	"1,202"	4
Owyhee County	Idaho	"9,594"	"11,472"	"1,863"	1
Payette County	Idaho	"12,345"	"22,610"	410	55
Power County	Idaho	"7,877"	"7,719"	"1,443"	5
Shoshone County	Idaho	"15,590"	"12,690"	"2,635"	5
Teton County	Idaho	"14,791"	"10,275"	451	23
Twin Falls County	Idaho	"41,753"	"79,957"	"1,928"	41
Valley County	Idaho	"24,549"	"9,606"	"3,733"	3
Washington County	Idaho	"10,821"	"9,944"	"1,474"	7
Adams County	Illinois	"38,003"	"67,130"	871	77
Alexander County	Illinois	"24,322"	"7,629"	253	30
Bond County	Illinois	n/a	"17,470"	383	46
Boone County	Illinois	"24,222"	"53,957"	282	191
Brown County	Illinois	"13,993"	"6,860"	307	22
Bureau County	Illinois	n/a	"34,056"	874	39
Calhoun County	Illinois	"17,554"	"5,059"	284	18
Carroll County	Illinois	"20,250"	"14,910"	466	32
Cass County	Illinois	"12,147"	"13,324"	384	35
Champaign County	Illinois	"73,479"	"204,897"	998	205
Christian County	Illinois	"24,239"	"34,298"	716	48
Clark County	Illinois	"14,097"	"16,182"	505	32
Clay County	Illinois	"15,588"	"13,566"	470	29
Clinton County	Illinois	"26,531"	"37,907"	503	75
Coles County	Illinois	"27,293"	"53,697"	510	105
Cook County	Illinois	"12,559"	"5,240,700"	"1,635"	3206
Crawford County	Illinois	"17,304"	"19,505"	446	44
Cumberland County	Illinois	"11,854"	"10,939"	347	32
De Witt County	Illinois	"11,137"	"16,420"	405	41
DeKalb County	Illinois	"7,010"	"104,741"	635	165
Douglas County	Illinois	"15,062"	"19,887"	417	48
DuPage County	Illinois	n/a	"932,126"	336	2771
Edgar County	Illinois	"17,697"	"17,960"	624	29
Edwards County	Illinois	"4,560"	"6,672"	223	30
Effingham County	Illinois	"29,275"	"34,307"	480	71
Fayette County	Illinois	"21,285"	"22,060"	725	30
Ford County	Illinois	"10,471"	"13,832"	486	28
Franklin County	Illinois	"30,774"	"39,202"	431	91
Fulton County	Illinois	n/a	"36,346"	883	41
Gallatin County	Illinois	"48,071"	"5,415"	328	17
Greene County	Illinois	"38,686"	"13,629"	546	25
Grundy County	Illinois	"27,032"	"50,228"	430	117
Hamilton County	Illinois	"10,247"	"8,368"	436	19
Hancock County	Illinois	"16,158"	"18,618"	814	23
Hardin County	Illinois	"24,647"	"4,181"	182	23
Henderson County	Illinois	"7,709"	"6,990"	395	18
Henry County	Illinois	"31,305"	"49,860"	826	60
Iroquois County	Illinois	"27,462"	"28,982"	"1,119"	26
Jackson County	Illinois	"34,000"	"59,814"	602	99
Jasper County	Illinois	"9,992"	"9,592"	498	19
Jefferson County	Illinois	"30,300"	"38,644"	584	66
Jersey County	Illinois	"14,289"	"22,641"	377	60
Jo Daviess County	Illinois	n/a	"22,407"	619	36
Johnson County	Illinois	"62,764"	"12,677"	"1,812"	36
Kane County	Illinois	"20,933"	"523,643"	524	999
Kankakee County	Illinois	"54,889"	"112,120"	681	165
Kendall County	Illinois	"24,252"	"119,348"	322	370
Knox County	Illinois	"33,311"	"52,078"	720	72
Lake County	Illinois	"282,412"	"703,019"	"1,368"	514
LaSalle County	Illinois	"70,254"	"112,183"	"1,148"	98
Lawrence County	Illinois	"15,852"	"16,558"	374	44
Lee County	Illinois	"28,809"	"34,858"	729	48
Livingston County	Illinois	"71,914"	"38,186"	"1,046"	37
Logan County	Illinois	"18,424"	"29,964"	619	48
Macon County	Illinois	"56,975"	"109,278"	586	187
Macoupin County	Illinois	"38,049"	"46,880"	868	54
Madison County	Illinois	"135,422"	"267,225"	741	361
Marion County	Illinois	"28,457"	"38,622"	576	67
Marshall County	Illinois	"14,758"	"12,153"	399	31
Mason County	Illinois	"16,603"	"14,248"	563	25
Massac County	Illinois	"11,135"	"15,073"	242	62
McDonough County	Illinois	"17,939"	"32,464"	590	55
McHenry County	Illinois	"149,116"	"307,409"	611	503
McLean County	Illinois	"69,382"	"174,647"	"1,186"	147
Menard County	Illinois	"11,886"	"12,607"	315	40
Mercer County	Illinois	"139,847"	"16,178"	569	28
Monroe County	Illinois	"18,899"	"33,493"	398	84
Montgomery County	Illinois	"30,074"	"29,654"	710	42
Morgan County	Illinois	"21,817"	"35,067"	572	61
Moultrie County	Illinois	"11,013"	"14,876"	344	43
Ogle County	Illinois	"37,161"	"52,385"	763	69
Peoria County	Illinois	"89,942"	"188,429"	631	299
Perry County	Illinois	"24,597"	"21,887"	447	49
Piatt County	Illinois	"12,454"	"16,433"	439	37
Pike County	Illinois	"63,613"	"16,150"	849	19
Pope County	Illinois	"30,296"	"4,312"	374	12
Pulaski County	Illinois	"174,523"	"5,908"	203	29
Putnam County	Illinois	"7,885"	"5,801"	172	34
Randolph County	Illinois	"26,134"	"32,890"	597	55
Richland County	Illinois	"12,984"	"16,182"	362	45
Rock Island County	Illinois	n/a	"147,258"	451	326
Saline County	Illinois	"26,001"	"24,939"	387	64
Sangamon County	Illinois	"104,872"	"199,145"	877	227
Schuyler County	Illinois	"8,977"	"7,444"	441	17
Scott County	Illinois	"23,371"	"5,222"	253	21
Shelby County	Illinois	"19,371"	"22,119"	768	29
St. Clair County	Illinois	"150,905"	"266,955"	674	396
Stark County	Illinois	"25,331"	"5,907"	288	20
Stephenson County	Illinois	"27,653"	"46,740"	565	83
Tazewell County	Illinois	"65,977"	"136,352"	658	207
Union County	Illinois	"27,679"	"17,583"	422	42
Vermilion County	Illinois	"57,273"	"80,329"	901	89
Wabash County	Illinois	"19,107"	"11,665"	228	51
Warren County	Illinois	"4,558"	"17,726"	543	33
Washington County	Illinois	"7,720"	"14,448"	564	26
Wayne County	Illinois	"16,158"	"16,612"	715	23
White County	Illinois	"20,716"	"14,549"	502	29
Whiteside County	Illinois	"37,145"	"57,557"	697	83
Will County	Illinois	"272,291"	"682,829"	849	804
Williamson County	Illinois	"50,074"	"66,924"	444	151
Winnebago County	Illinois	"126,635"	"290,666"	519	560
Woodford County	Illinois	"26,213"	"39,273"	543	72
Adams County	Indiana	"20,080"	"34,614"	340	102
Allen County	Indiana	"154,596"	"363,014"	660	550
Bartholomew County	Indiana	"37,642"	"79,587"	410	194
Benton County	Indiana	"8,032"	"8,767"	407	22
Blackford County	Indiana	"9,117"	"12,481"	166	75
Boone County	Indiana	"34,718"	"60,477"	423	143
Brown County	Indiana	"13,993"	"15,023"	317	47
Carroll County	Indiana	"21,005"	"20,086"	375	54
Cass County	Indiana	"25,478"	"38,463"	415	93
Clark County	Indiana	"58,116"	"112,938"	376	300
Clay County	Indiana	"23,093"	"26,803"	360	74
Clinton County	Indiana	"25,152"	"32,916"	405	81
Crawford County	Indiana	"12,800"	"10,621"	309	34
Daviess County	Indiana	"20,975"	"32,407"	437	74
Dearborn County	Indiana	"31,365"	"49,904"	307	162
Decatur County	Indiana	"17,580"	"26,277"	373	70
DeKalb County	Indiana	"31,333"	"42,307"	364	116
Delaware County	Indiana	"59,969"	"117,484"	396	297
Dubois County	Indiana	"35,270"	"42,361"	435	97
Elkhart County	Indiana	"89,550"	"200,563"	468	429
Fayette County	Indiana	"14,398"	"23,861"	215	111
Floyd County	Indiana	"43,959"	"76,244"	149	512
Fountain County	Indiana	"14,612"	"16,880"	398	42
Franklin County	Indiana	"16,761"	"22,951"	391	59
Fulton County	Indiana	"17,083"	"20,449"	371	55
Gibson County	Indiana	"21,159"	"33,612"	499	499
Grant County	Indiana	"39,157"	"69,126"	415	167
Greene County	Indiana	"25,127"	"32,781"	546	60
Hamilton County	Indiana	"122,266"	"296,693"	402	737
Hancock County	Indiana	"43,221"	"71,575"	307	233
Harrison County	Indiana	"26,606"	"39,163"	487	81
Hendricks County	Indiana	"78,453"	"153,879"	409	409
Henry County	Indiana	"29,347"	"49,044"	395	124
Howard County	Indiana	"43,682"	"82,760"	294	282
Huntington County	Indiana	"22,601"	"36,791"	388	95
Jackson County	Indiana	"25,719"	"43,466"	514	85
Jasper County	Indiana	"21,330"	"33,389"	561	59
Jay County	Indiana	"16,228"	"21,330"	384	56
Jefferson County	Indiana	"16,228"	"32,458"	363	89
Jennings County	Indiana	"20,278"	"28,241"	378	75
Johnson County	Indiana	"62,764"	"145,535"	322	452
Knox County	Indiana	"30,635"	"37,954"	524	72
Kosciusko County	Indiana	"51,909"	"77,963"	554	141
LaGrange County	Indiana	"26,927"	"37,996"	387	98
Lake County	Indiana	"237,693"	"491,456"	627	784
LaPorte County	Indiana	"67,177"	"111,281"	613	181
Lawrence County	Indiana	"31,062"	"45,844"	452	101
Madison County	Indiana	"85,139"	"130,482"	453	288
Marion County	Indiana	"342,318"	"928,281"	403	2303
Marshall County	Indiana	"35,039"	"47,109"	450	105
Martin County	Indiana	"9,946"	"10,160"	340	30
Miami County	Indiana	"23,289"	"36,140"	377	96
Monroe County	Indiana	"62,771"	"141,888"	411	345
Montgomery County	Indiana	"22,913"	"38,177"	505	76
Morgan County	Indiana	"41,589"	"69,782"	409	170
Newton County	Indiana	"11,479"	"14,087"	403	35
Noble County	Indiana	"26,498"	"47,570"	417	114
Ohio County	Indiana	"3,358"	"5,994"	87	69
Orange County	Indiana	"27,315"	"19,773"	408	48
Owen County	Indiana	"17,529"	"21,201"	388	55
Parke County	Indiana	"19,478"	"17,202"	450	38
Perry County	Indiana	"17,107"	"19,558"	386	51
Pike County	Indiana	"17,164"	"12,683"	341	37
Porter County	Indiana	"79,718"	"166,557"	522	319
Posey County	Indiana	"19,516"	"25,486"	419	61
Pulaski County	Indiana	"17,581"	"13,007"	435	30
Putnam County	Indiana	"25,877"	"37,505"	483	78
Randolph County	Indiana	"18,435"	"25,627"	453	57
Ripley County	Indiana	"17,953"	"28,419"	448	63
Rush County	Indiana	"12,886"	"17,004"	408	42
Scott County	Indiana	"14,676"	"23,972"	193	124
Shelby County	Indiana	"29,618"	"44,729"	413	108
Spencer County	Indiana	"22,871"	"20,944"	401	52
St. Joseph County	Indiana	"121,237"	"266,709"	461	578
Starke County	Indiana	"20,529"	"23,197"	312	74
Steuben County	Indiana	"38,556"	"34,358"	322	107
Sullivan County	Indiana	"17,914"	"21,223"	454	47
Switzerland County	Indiana	"7,917"	"10,526"	223	47
Tippecanoe County	Indiana	"76,959"	"180,174"	503	358
Tipton County	Indiana	"13,349"	"15,650"	261	60
Union County	Indiana	"6,456"	"7,277"	165	44
Vanderburgh County	Indiana	"78,201"	"181,398"	236	768
Vermillion County	Indiana	"12,467"	"15,878"	260	61
Vigo County	Indiana	"59,488"	"108,291"	410	264
Wabash County	Indiana	"19,107"	"32,358"	421	77
Warren County	Indiana	"10,554"	"8,415"	366	23
Warrick County	Indiana	"38,734"	"61,049"	391	156
Washington County	Indiana	"18,939"	"27,780"	517	54
Wayne County	Indiana	"35,350"	"67,893"	404	168
Wells County	Indiana	"17,596"	"27,814"	370	75
White County	Indiana	"24,407"	"24,466"	509	48
Whitley County	Indiana	"19,502"	"33,294"	338	99
Adair County	Iowa	"15,068"	"7,472"	570	13
Adams County	Iowa	"10,128"	"3,894"	426	9
Allamakee County	Iowa	"13,691"	"14,169"	659	22
Appanoose County	Iowa	"21,721"	"12,692"	516	25
Audubon County	Iowa	"11,285"	"5,873"	443	13
Benton County	Iowa	"17,065"	"25,699"	718	36
Black Hawk County	Iowa	"67,915"	"132,546"	573	231
Boone County	Iowa	"24,447"	"26,364"	574	46
Bremer County	Iowa	"19,603"	"24,624"	439	56
Buchanan County	Iowa	"39,473"	"20,976"	573	37
Buena Vista County	Iowa	"19,711"	"20,567"	580	35
Butler County	Iowa	"13,445"	"15,021"	582	26
Calhoun County	Iowa	"17,554"	"9,926"	572	17
Carroll County	Iowa	"20,250"	"20,598"	570	36
Cass County	Iowa	"16,618"	"13,598"	565	25
Cedar County	Iowa	"19,418"	"18,393"	582	32
Cerro Gordo County	Iowa	"33,100"	"43,575"	575	76
Cherokee County	Iowa	"16,824"	"11,945"	577	21
Chickasaw County	Iowa	"9,745"	"12,321"	506	24
Clarke County	Iowa	"12,270"	"9,325"	432	22
Clay County	Iowa	"18,326"	"16,491"	573	29
Clayton County	Iowa	"32,245"	"17,773"	793	22
Clinton County	Iowa	"34,746"	"48,420"	730	68
Crawford County	Iowa	"23,049"	"17,434"	715	24
Dallas County	Iowa	"43,333"	"74,641"	592	126
Davis County	Iowa	"11,788"	"8,791"	505	17
Decatur County	Iowa	"15,725"	"8,136"	505	15
Delaware County	Iowa	"15,367"	"17,534"	579	30
Des Moines County	Iowa	"29,673"	"40,480"	430	94
Dickinson County	Iowa	"26,690"	"16,955"	404	42
Dubuque County	Iowa	"51,893"	"95,697"	617	155
Emmet County	Iowa	"13,382"	"9,996"	403	25
Fayette County	Iowa	"16,585"	"20,502"	731	28
Floyd County	Iowa	"11,420"	"16,092"	501	32
Franklin County	Iowa	"17,371"	"10,548"	583	18
Fremont County	Iowa	"24,666"	"7,080"	517	14
Greene County	Iowa	"15,457"	"9,139"	571	16
Grundy County	Iowa	"9,909"	"12,314"	502	25
Guthrie County	Iowa	"19,146"	"10,687"	593	18
Hamilton County	Iowa	"18,951"	"15,312"	578	27
Hancock County	Iowa	"11,005"	"11,094"	573	19
Hardin County	Iowa	"21,679"	"17,441"	570	31
Harrison County	Iowa	"24,455"	"14,431"	702	21
Henry County	Iowa	"16,254"	"20,222"	437	46
Howard County	Iowa	"43,682"	"9,526"	474	20
Humboldt County	Iowa	"17,592"	"9,688"	436	22
Ida County	Iowa	"11,612"	"7,141"	432	17
Iowa County	Iowa	"19,043"	"16,330"	587	28
Jackson County	Iowa	"21,941"	"19,587"	650	30
Jasper County	Iowa	"29,881"	"36,641"	733	50
Jefferson County	Iowa	"18,133"	"16,810"	437	38
Johnson County	Iowa	"66,627"	"139,155"	623	223
Jones County	Iowa	"22,822"	"20,611"	577	36
Keokuk County	Iowa	"17,194"	"10,329"	580	18
Kossuth County	Iowa	"26,284"	"15,321"	974	16
Lee County	Iowa	"30,579"	"35,682"	539	66
Linn County	Iowa	"112,549"	"216,111"	752	298
Louisa County	Iowa	"13,490"	"11,282"	418	27
Lucas County	Iowa	"206,177"	"8,746"	434	20
Lyon County	Iowa	"10,871"	"11,712"	588	20
Madison County	Iowa	"17,505"	"15,448"	562	27
Mahaska County	Iowa	"22,040"	"22,417"	573	39
Marion County	Iowa	"25,589"	"33,252"	571	58
Marshall County	Iowa	"27,251"	"40,994"	573	72
Mills County	Iowa	"17,255"	"14,896"	441	34
Mitchell County	Iowa	"11,633"	"10,709"	470	23
Monona County	Iowa	"20,659"	"9,121"	699	13
Monroe County	Iowa	"16,866"	"8,012"	434	18
Montgomery County	Iowa	"14,285"	"10,424"	425	25
Muscatine County	Iowa	"24,900"	"42,836"	449	95
O’Brien County	Iowa	n/a	"14,044"	573	25
Osceola County	Iowa	"4,636"	"6,211"	399	16
Page County	Iowa	"18,162"	"15,713"	535	29
Palo Alto County	Iowa	"15,930"	"9,185"	569	16
Plymouth County	Iowa	"209,784"	"24,957"	864	29
Pocahontas County	Iowa	"18,841"	"7,154"	579	12
Polk County	Iowa	"17,810"	"451,677"	592	764
Pottawattamie County	Iowa	"54,818"	"92,728"	959	97
Poweshiek County	Iowa	"20,343"	"18,601"	586	32
Ringgold County	Iowa	"13,680"	"5,072"	539	9
Sac County	Iowa	"18,309"	"10,071"	578	17
Scott County	Iowa	"73,126"	"170,385"	468	364
Shelby County	Iowa	"17,254"	"11,961"	591	20
Sioux County	Iowa	"30,05"	"34,547"	769	45
Story County	Iowa	"43,796"	"92,406"	574	161
Tama County	Iowa	"22,542"	"17,576"	722	24
Taylor County	Iowa	"16,466"	"6,161"	535	12
Union County	Iowa	"14,538"	"12,583"	426	30
Van Buren County	Iowa	"7,182"	"7,436"	491	15
Wapello County	Iowa	"30,277"	"35,391"	436	81
Warren County	Iowa	"32,845"	"47,336"	"1,846"	83
Washington County	Iowa	"21,602"	"22,015"	571	39
Wayne County	Iowa	"13,842"	"6,402"	527	12
Webster County	Iowa	"33,157"	"37,044"	718	52
Winnebago County	Iowa	"12,312"	"10,554"	402	26
Winneshiek County	Iowa	"21,036"	"20,994"	690	30
Woodbury County	Iowa	"61,105"	"102,130"	878	116
Worth County	Iowa	"11,775"	"7,541"	402	19
Wright County	Iowa	"18,454"	"12,972"	582	22
Allen County	Kansas	"10,703"	"13,124"	505	26
Anderson County	Kansas	"7,153"	"7,897"	584	14
Atchison County	Kansas	"9,623"	"16,749"	434	39
Barber County	Kansas	"6,778"	"4,947"	"1,136"	4
Barton County	Kansas	"18,011"	"27,509"	901	31
Bourbon County	Kansas	"12,225"	"14,852"	639	23
Brown County	Kansas	"8,564"	"9,997"	572	17
Butler County	Kansas	"32,832"	"65,803"	"1,447"	45
Chase County	Kansas	"4,163"	"2,700"	778	3
Chautauqua County	Kansas	"5,322"	"3,552"	645	6
Cherokee County	Kansas	"15,680"	"20,978"	591	35
Cheyenne County	Kansas	"4,740"	"2,694"	"1,021"	3
Clark County	Kansas	"3,824"	"2,193"	977	2
Clay County	Kansas	"7,546"	"8,406"	656	13
Cloud County	Kansas	"9,326"	"9,292"	718	13
Coffey County	Kansas	"8,237"	"8,412"	654	13
Comanche County	Kansas	"3,378"	"1,955"	790	2
Cowley County	Kansas	"20,497"	"36,204"	"1,132"	32
Crawford County	Kansas	"23,842"	"39,278"	595	66
Decatur County	Kansas	"5,082"	"2,930"	894	3
Dickinson County	Kansas	"29,686"	"19,609"	852	23
Doniphan County	Kansas	"7,700"	"7,851"	398	20
Douglas County	Kansas	"40,306"	"114,322"	475	241
Edwards County	Kansas	"4,560"	"2,945"	622	5
Elk County	Kansas	"4,296"	"2,655"	650	4
Ellis County	Kansas	"15,452"	"29,061"	900	32
Ellsworth County	Kansas	"7,090"	"6,398"	723	9
Finney County	Kansas	"15,194"	"37,098"	"1,303"	28
Ford County	Kansas	"16,145"	"34,819"	"1,099"	32
Franklin County	Kansas	"14,848"	"25,740"	577	45
Geary County	Kansas	"13,775"	"37,384"	404	92
Gove County	Kansas	n/a	"2,769"	"1,072"	3
Graham County	Kansas	"17,651"	"2,593"	899	3
Grant County	Kansas	"5,661"	"7,950"	575	14
Gray County	Kansas	"6,372"	"6,009"	869	7
Greeley County	Kansas	"3,392"	"1,290"	778	2
Greenwood County	Kansas	"9,367"	"6,424"	"1,153"	6
Hamilton County	Kansas	"6,956"	"2,609"	998	3
Harper County	Kansas	"6,956"	"5,860"	803	7
Harvey County	Kansas	"18,728"	"34,741"	541	64
Haskell County	Kansas	"12,296"	"4,141"	578	7
Hodgeman County	Kansas	"3,572"	"1,950"	860	2
Jackson County	Kansas	"9,619"	"13,366"	658	20
Jefferson County	Kansas	"15,080"	"18,813"	557	34
Jewell County	Kansas	"6,886"	"3,046"	914	3
Johnson County	Kansas	"240,052"	"566,933"	480	1181
Kearny County	Kansas	"4,169"	"3,923"	871	5
Kingman County	Kansas	"7,798"	"7,844"	867	9
Kiowa County	Kansas	"4,066"	"2,523"	723	3
Labette County	Kansas	"15,730"	"20,916"	653	32
Lane County	Kansas	"3,682"	"1,720"	718	2
Leavenworth County	Kansas	"30,787"	"78,185"	469	167
