County	State	Total Comps	For Sale Comps (All)	Sold Comps (All)	Sold Comps (6m)	Sold Comps (3m)	Listed Comps (12m)	Listed Comps (6m)	Listed Comps (3m)	Sold-For Sale Ratio	Sold-Listed Ratio (12m)	Sold-Listed Ratio (6m)	Sold-Listed Ratio (3m)	Parcels on Market Ratio	Total DataTree Parcels	Total Out of State Owner Parcels	Total Out of County Owner Parcels	Out of State to Total Ratio	Out of County to Total Ratio	Coefficient of Variation	Coefficient of Variation (6m)	Coefficient of Variation (3m)	Days on Market	MoM Price Change %	Economic Rank	Economic Score	Population	Population Change (2010-2019)	Population Change %	Population-Sq Mile
Marshall County	Indiana	440	374	66	30	11	198	161	37	0.18	0.33	0.19	0.3	0.038	9806	500	1722	0.051	0.176	0.21	0.22	0.22	151.7	-4.5	2719	-1.36	46258	-742	-1.6	102.8
Martin County	Indiana	194	136	58	13	2	25	8	7	0.43	2.32	1.62	0.29	0.029	4625	283	1751	0.061	0.379	0.29	0.27	0.28	232.9	6.91	1555	-0.12	10255	-104	-1	30.1
Miami County	Indiana	188	132	56	19	9	66	27	22	0.42	0.85	0.7	0.41	0.019	6789	280	1782	0.041	0.262	0.15	0.15	0.15	301.6	2.04	2958	-1.78	35516	-1294	-3.6	94.1
Monroe County	Indiana	1229	1004	225	78	51	262	138	102	0.22	0.86	0.57	0.5	0.129	7761	346	1406	0.045	0.181	0.45	0.44	0.44	223.5	2.01	1180	0.2	148431	9865	6.6	360.9
Montgomery County	Indiana	246	185	61	30	7	60	34	22	0.33	1.02	0.88	0.32	0.029	6385	413	1710	0.065	0.268	0.29	0.28	0.28	191.2	5.18	2963	-1.79	38338	240	0.6	75.9
Morgan County	Indiana	1013	832	181	87	40	244	132	45	0.22	0.74	0.66	0.89	0.077	10830	427	2610	0.039	0.241	0.42	0.42	0.43	299.8	-1.94	1835	-0.35	70489	1351	1.9	172.2
Newton County	Indiana	248	207	41	12	2	73	54	48	0.2	0.56	0.22	0.04	0.05	4115	717	1965	0.174	0.478	0.15	0.14	0.14	82.1	-1.25	3046	-2.13	13984	-249	-1.8	34.7
Noble County	Indiana	535	464	71	26	14	133	37	29	0.15	0.53	0.7	0.48	0.078	5944	195	1477	0.033	0.248	0.22	0.22	0.22	226.8	4.26	2466	-1.01	47744	290	0.6	114.3
Ohio County	Indiana	119	115	4	0	0	2	1	1	0.03	2	0	0	0.157	734	126	327	0.172	0.446	0.15	0.15	0.15	544	3.15	1890	-0.4	5875	-211	-3.6	67.2
Orange County	Indiana	360	268	92	23	11	87	64	51	0.34	1.06	0.36	0.22	0.03	8943	530	2432	0.059	0.272	0.28	0.28	0.27	74	0.22	1394	0.01	19646	-168	-0.9	48.1
Owen County	Indiana	604	500	104	33	9	69	37	23	0.21	1.51	0.89	0.39	0.079	6302	300	2484	0.048	0.394	0.32	0.33	0.32	129.6	-1.1	2089	-0.58	20799	-767	-3.7	53.6
Parke County	Indiana	233	180	53	10	1	47	24	16	0.29	1.13	0.42	0.06	0.017	10710	614	3433	0.057	0.321	0.3	0.3	0.29	130.4	-0.43	2768	-1.43	16937	-338	-2	37.6
Perry County	Indiana	308	280	28	10	2	76	61	16	0.1	0.37	0.16	0.12	0.042	6637	406	1912	0.061	0.288	0.26	0.26	0.26	135.6	-2.84	1670	-0.21	19169	-240	-1.3	49.6
Pike County	Indiana	258	228	30	13	6	93	84	79	0.13	0.32	0.15	0.08	0.024	9350	665	4216	0.071	0.451	0.23	0.22	0.22	68	6.5	2260	-0.76	12389	-331	-2.7	36.3
Porter County	Indiana	1285	1120	165	78	31	386	234	150	0.15	0.43	0.33	0.21	0.086	12996	1792	3581	0.138	0.276	0.37	0.37	0.37	309.5	-0.73	1569	-0.13	170389	5902	3.5	326.7
Posey County	Indiana	175	131	44	23	18	42	16	8	0.34	1.05	1.44	2.25	0.019	6810	652	1711	0.096	0.251	0.2	0.21	0.2	384.8	0.06	2374	-0.9	25427	-434	-1.7	60.6
Pulaski County	Indiana	275	223	52	19	8	65	43	14	0.23	0.8	0.44	0.57	0.023	9630	883	3258	0.092	0.338	0.17	0.17	0.17	129.7	4.55	3044	-2.12	12353	-970	-7.9	28.4
Putnam County	Indiana	555	359	196	62	31	119	43	28	0.55	1.65	1.44	1.11	0.039	9149	399	2928	0.044	0.32	0.39	0.38	0.37	127.5	5.22	2909	-1.66	37576	-333	-0.9	77.9
Randolph County	Indiana	128	67	61	18	10	35	15	8	0.91	1.74	1.2	1.25	0.011	5912	848	1526	0.143	0.258	0.18	0.15	0.14	159.5	2.8	3078	-2.23	24665	-1513	-6.1	54.4
Ripley County	Indiana	604	504	100	24	13	51	21	13	0.2	1.96	1.14	1	0.096	5273	456	1527	0.086	0.29	0.34	0.33	0.33	236.8	-1.63	2712	-1.35	28324	-491	-1.7	63.2
Rush County	Indiana	120	104	16	3	1	14	8	6	0.15	1.14	0.38	0.17	0.027	3901	204	1222	0.052	0.313	0.18	0.16	0.16	429.2	8.08	3086	-2.29	16581	-803	-4.8	40.6
Spencer County	Indiana	550	413	137	72	24	232	120	70	0.33	0.59	0.6	0.34	0.037	11251	879	3026	0.078	0.269	0.24	0.23	0.23	211.4	8.4	2722	-1.37	20277	-638	-3.1	50.5
St. Joseph County	Indiana	1277	1047	230	97	40	802	361	221	0.22	0.29	0.27	0.18	0.065	16159	1479	2398	0.092	0.148	0.39	0.39	0.38	264.2	-4.66	2916	-1.68	271826	5029	1.9	589.7
Starke County	Indiana	560	425	135	52	8	149	96	26	0.32	0.91	0.54	0.31	0.061	6936	902	2621	0.13	0.378	0.22	0.21	0.21	160.5	-5.62	2939	-1.73	22995	-350	-1.5	73.6
Steuben County	Indiana	763	597	166	55	14	197	91	53	0.28	0.84	0.6	0.26	0.039	15384	2446	5718	0.159	0.372	0.4	0.4	0.39	197.3	3.6	2468	-1.01	34594	485	1.4	107.3
Sullivan County	Indiana	175	131	44	10	7	31	22	16	0.34	1.42	0.45	0.44	0.017	7722	950	2576	0.123	0.334	0.33	0.29	0.3	129.8	0.59	2760	-1.42	20669	-721	-3.5	45.5
Switzerland County	Indiana	430	383	47	12	0	25	19	8	0.12	1.88	0.63	0	0.129	2959	623	1473	0.211	0.498	0.34	0.35	0.34	329.2	-1.79	1497	-0.07	10751	34	0.3	48.1
Tippecanoe County	Indiana	568	439	129	51	31	125	79	62	0.29	1.03	0.65	0.5	0.046	9490	742	1843	0.078	0.194	0.36	0.35	0.35	165.9	0.74	2857	-1.57	195732	22628	11.6	389.1
Tipton County	Indiana	67	53	14	6	2	15	11	2	0.26	0.93	0.55	1	0.011	4904	355	1538	0.072	0.314	0.05	0.05	0.05	349.8	0.23	3125	-3.32	15148	-730	-4.8	58.2
Union County	Indiana	45	31	14	2	2	6	4	4	0.45	2.33	0.5	0.5	0.016	1992	549	998	0.276	0.501	0.06	0.05	0.05	194.6	0.85	2227	-0.72	7054	-483	-6.8	42.7
Vanderburgh County	Indiana	730	566	164	88	58	349	131	62	0.29	0.47	0.67	0.94	0.061	9300	560	1431	0.06	0.154	0.14	0.14	0.12	269.7	-0.15	2833	-1.53	181451	1609	0.9	769.7
Vermillion County	Indiana	255	201	54	4	1	24	15	10	0.27	2.25	0.27	0.1	0.046	4365	676	1315	0.155	0.301	0.31	0.3	0.3	117.5	3.71	2822	-1.5	15498	-618	-4	59.6
Vigo County	Indiana	886	807	79	36	13	334	225	176	0.1	0.24	0.16	0.07	0.052	15379	1156	2570	0.075	0.167	0.43	0.42	0.42	207.7	0.46	2786	-1.45	107038	-850	-0.8	260.8
Wabash County	Indiana	137	96	41	18	6	70	49	45	0.43	0.59	0.37	0.13	0.02	4769	275	1005	0.058	0.211	0.18	0.16	0.16	107.9	24.33	2426	-0.96	30996	-1852	-6	73.6
Warren County	Indiana	119	100	19	5	4	10	6	4	0.19	1.9	0.83	1	0.017	5844	726	2228	0.124	0.381	0.21	0.18	0.18	87.3	-4.05	2847	-1.56	8265	-256	-3.1	22.5
Warrick County	Indiana	754	521	233	103	59	325	157	56	0.45	0.72	0.66	1.05	0.047	11203	1713	3321	0.153	0.296	0.34	0.31	0.3	179	1.4	2536	-1.09	62998	3159	5	161.2
Washington County	Indiana	681	572	109	40	15	173	124	101	0.19	0.63	0.32	0.15	0.088	6507	423	2255	0.065	0.347	0.29	0.29	0.3	98.2	6.19	2702	-1.32	28036	-256	-0.9	54.3
Wayne County	Indiana	242	216	26	8	2	28	12	7	0.12	0.93	0.67	0.29	0.04	5417	455	984	0.084	0.182	0.3	0.29	0.28	399.2	1.77	2783	-1.45	65884	-3005	-4.6	162.9
Wells County	Indiana	180	135	45	18	6	39	24	15	0.33	1.15	0.75	0.4	0.031	4392	186	1158	0.042	0.264	0.15	0.15	0.14	111.9	2.83	3043	-2.11	28296	614	2.2	76.4
White County	Indiana	323	263	60	17	8	102	47	36	0.23	0.59	0.36	0.22	0.036	7208	834	2804	0.116	0.389	0.28	0.28	0.28	168	0.06	2796	-1.47	24102	-581	-2.4	47.4
Whitley County	Indiana	360	281	79	40	11	85	25	9	0.28	0.93	1.6	1.22	0.055	5113	193	937	0.038	0.183	0.13	0.13	0.13	328.2	4.41	2709	-1.34	33964	611	1.8	100.5
Adair County	Iowa	67	49	18	4	2	6	1	1	0.37	3	4	2	0.005	10437	1188	3789	0.114	0.363	0.14	0.13	0.13	141.3	25.17	2291	-0.8	7152	-527	-7.4	12.5
Adams County	Iowa	201	148	53	3	1	20	18	9	0.36	2.65	0.17	0.11	0.02	7435	1018	3596	0.137	0.484	0.43	0.41	0.42	82.6	-1.63	1885	-0.39	3602	-421	-11.7	8.5
Allamakee County	Iowa	312	235	77	26	9	62	47	31	0.33	1.24	0.55	0.29	0.043	5455	635	1741	0.116	0.319	0.32	0.3	0.27	133	0.08	1622	-0.17	13687	-691	-5	20.8
Appanoose County	Iowa	1212	866	346	43	19	243	214	148	0.4	1.42	0.2	0.13	0.089	9723	1163	3388	0.12	0.348	0.43	0.41	0.41	97.3	1.41	1307	0.08	12426	-430	-3.5	24.1
Audubon County	Iowa	36	28	8	4	4	8	7	1	0.29	1	0.57	4	0.003	8134	821	3119	0.101	0.383	0.06	0.06	0.06	206.9	3.56	2370	-0.89	5496	-602	-11	12.4
Benton County	Iowa	319	265	54	3	1	55	19	9	0.2	0.98	0.16	0.11	0.047	5673	448	1834	0.079	0.323	0.41	0.34	0.35	566.2	5.87	3047	-2.13	25645	-401	-1.6	35.7
Black Hawk County	Iowa	473	325	148	39	25	185	109	78	0.46	0.8	0.36	0.32	0.023	13903	1188	3827	0.085	0.275	0.33	0.34	0.35	138.3	5.2	2907	-1.66	131228	66	0.1	229.5
Boone County	Iowa	397	292	105	33	9	113	77	32	0.36	0.93	0.43	0.28	0.023	12442	1110	5120	0.089	0.412	0.3	0.27	0.25	126.7	1.84	2920	-1.69	26234	-37	-0.1	45.7
Bremer County	Iowa	308	208	100	40	23	119	69	56	0.48	0.84	0.58	0.41	0.023	9095	541	2261	0.059	0.249	0.19	0.17	0.17	140.7	-2.81	2882	-1.62	25062	767	3.1	57
Buchanan County	Iowa	348	231	117	33	13	110	72	36	0.51	1.06	0.46	0.36	0.02	11498	811	3549	0.071	0.309	0.24	0.24	0.24	127.4	0.25	2983	-1.88	21175	201	0.9	36.9
Buena Vista County	Iowa	90	84	6	0	0	24	1	0	0.07	0.25	0	0	0.008	10681	1601	4125	0.15	0.386	0.1	0.1	0.1	197.6	34.91	2655	-1.26	19620	-736	-3.8	33.8
Butler County	Iowa	309	227	82	16	5	102	77	25	0.36	0.8	0.21	0.2	0.037	6091	394	2014	0.065	0.331	0.3	0.25	0.25	285.4	0.4	3057	-2.17	14439	-477	-3.3	24.8
Calhoun County	Iowa	26	16	10	2	1	1	1	0	0.62	10	2	1	0.001	11775	1459	5574	0.124	0.473	0.1	0.09	0.09	13	31.64	2823	-1.5	9668	-492	-5.1	16.9
Carroll County	Iowa	159	136	23	3	0	28	21	2	0.17	0.82	0.14	0	0.011	12059	992	2708	0.082	0.225	0.17	0.14	0.14	327.5	14.21	2304	-0.81	20165	-659	-3.3	35.4
Cass County	Iowa	114	88	26	11	6	20	15	5	0.3	1.3	0.73	1.2	0.009	9868	956	2670	0.097	0.271	0.2	0.13	0.14	100.1	9.99	2308	-0.82	12836	-1092	-8.5	22.7
Cedar County	Iowa	343	235	108	6	2	102	73	64	0.46	1.06	0.08	0.03	0.021	11095	895	4436	0.081	0.4	0.35	0.26	0.26	91.9	-0.62	2926	-1.7	18627	177	1	32
Cerro Gordo County	Iowa	326	278	48	16	3	63	52	16	0.17	0.76	0.31	0.19	0.026	10721	1271	3510	0.119	0.327	0.31	0.31	0.31	282.6	2.05	2872	-1.6	42450	-1647	-3.9	73.8
Cherokee County	Iowa	81	74	7	3	0	8	4	4	0.09	0.88	0.75	0	0.007	11294	1449	4020	0.128	0.356	0.18	0.18	0.18	115.2	10.88	2772	-1.44	11235	-875	-7.8	19.5
Chickasaw County	Iowa	201	163	38	10	4	95	32	18	0.23	0.4	0.31	0.22	0.041	3973	286	1069	0.072	0.269	0.29	0.22	0.23	205.1	1.29	3035	-2.09	11933	-477	-4	23.6
Clarke County	Iowa	538	346	192	33	4	58	35	17	0.55	3.31	0.94	0.24	0.043	8000	725	3444	0.091	0.43	0.41	0.37	0.38	145.2	-1.18	2591	-1.16	9395	75	0.8	21.8
Clay County	Iowa	239	212	27	13	3	107	107	46	0.13	0.25	0.12	0.07	0.019	11253	1973	4606	0.175	0.409	0.19	0.19	0.18	147.8	0.81	2725	-1.37	16016	-618	-3.9	28
Clayton County	Iowa	461	376	85	24	8	85	34	27	0.23	1	0.71	0.3	0.019	19410	871	4821	0.045	0.248	0.29	0.29	0.3	216.9	2.45	1956	-0.46	17549	-531	-3	22.1
Clinton County	Iowa	348	272	76	11	3	94	54	23	0.28	0.81	0.2	0.13	0.022	12463	1027	3254	0.082	0.261	0.6	0.5	0.5	195.6	2.89	2819	-1.5	46429	-2667	-5.7	65.4
Crawford County	Iowa	85	68	17	5	3	13	13	2	0.25	1.31	0.38	1.5	0.005	12445	1032	4014	0.083	0.323	0.14	0.13	0.14	178.1	4.5	2084	-0.57	16820	-350	-2.1	23.5
Dallas County	Iowa	1472	1148	324	109	44	623	444	128	0.28	0.52	0.25	0.34	0.081	14186	1382	5769	0.097	0.407	0.79	0.65	0.65	230.8	0.15	2792	-1.46	93453	26703	28.6	157.9
Davis County	Iowa	508	263	245	23	11	47	44	29	0.93	5.21	0.52	0.38	0.033	7872	877	2417	0.111	0.307	0.43	0.39	0.39	69.8	0.1	2663	-1.27	9000	224	2.5	17.8
Decatur County	Iowa	502	381	121	22	7	69	67	55	0.32	1.75	0.33	0.13	0.039	9746	2006	4896	0.206	0.502	0.67	0.61	0.6	79.2	7.01	2460	-1	7870	-548	-7	14.8
Delaware County	Iowa	237	175	62	21	11	43	19	12	0.35	1.44	1.11	0.92	0.022	7945	283	1982	0.036	0.249	0.32	0.22	0.22	279.8	-1.13	2991	-1.89	17011	-753	-4.4	29.4
Des Moines County	Iowa	430	390	40	14	4	106	83	9	0.1	0.38	0.17	0.44	0.041	9560	624	1592	0.065	0.167	0.33	0.33	0.33	263.3	4.31	2412	-0.94	38967	-1274	-3.3	90.7
Dickinson County	Iowa	550	420	130	28	5	130	123	7	0.31	1	0.23	0.71	0.041	10338	1803	4200	0.174	0.406	0.3	0.28	0.28	406.7	1.2	2202	-0.69	17258	588	3.4	42.8
Dubuque County	Iowa	588	487	101	41	19	144	63	35	0.21	0.7	0.65	0.54	0.036	13572	576	1408	0.042	0.104	0.46	0.46	0.46	207.6	0.48	1701	-0.23	97311	3382	3.5	157.8
Emmet County	Iowa	139	137	2	0	0	95	34	0	0.01	0.02	0	0	0.017	8254	1562	3592	0.189	0.435	0.18	0.08	0.08	284.7	9.78	2622	-1.21	9208	-1068	-11.6	22.9
Fayette County	Iowa	231	152	79	25	2	48	28	6	0.52	1.65	0.89	0.33	0.022	6760	471	1994	0.07	0.295	0.42	0.42	0.39	116	1.26	3097	-2.37	19650	-1210	-6.2	26.9
Floyd County	Iowa	166	129	37	10	2	31	15	9	0.29	1.19	0.67	0.22	0.031	4121	380	1378	0.092	0.334	0.24	0.21	0.22	321.5	3.81	3082	-2.25	15642	-667	-4.3	31.2
Franklin County	Iowa	149	120	29	5	3	34	33	4	0.24	0.85	0.15	0.75	0.01	12244	1460	5574	0.119	0.455	0.19	0.18	0.18	165.4	-6.52	3083	-2.26	10070	-636	-6.3	17.3
Fremont County	Iowa	137	105	32	9	4	15	11	7	0.3	2.13	0.82	0.57	0.01	10752	3113	5463	0.29	0.508	0.26	0.22	0.22	243.5	2.38	1664	-0.2	6960	-474	-6.8	13.5
Greene County	Iowa	74	46	28	3	0	6	3	0	0.61	4.67	1	0	0.004	10328	1262	4291	0.122	0.415	0.2	0.12	0.12	136.5	-1.03	2447	-0.99	8888	-474	-5.3	15.6
Grundy County	Iowa	212	178	34	8	2	65	8	2	0.19	0.52	1	1	0.04	4432	538	1758	0.121	0.397	0.18	0.11	0.1	500.6	11.34	3112	-2.62	12232	-231	-1.9	24.3
Guthrie County	Iowa	281	156	125	49	17	108	57	36	0.8	1.16	0.86	0.47	0.012	13001	850	4931	0.065	0.379	0.31	0.31	0.29	107.4	6.87	2132	-0.61	10689	-248	-2.3	18
Hamilton County	Iowa	96	72	24	6	2	14	13	3	0.33	1.71	0.46	0.67	0.006	11747	1615	4899	0.137	0.417	0.21	0.15	0.15	94.1	2.46	3041	-2.1	14773	-860	-5.8	25.6
Hancock County	Iowa	113	97	16	7	4	16	12	2	0.16	1	0.58	2	0.01	10116	1482	4598	0.147	0.455	0.25	0.22	0.22	382.1	11.63	3087	-2.3	10630	-667	-6.3	18.5
Hardin County	Iowa	163	136	27	14	3	46	42	6	0.2	0.59	0.33	0.5	0.012	11535	1174	4144	0.102	0.359	0.25	0.2	0.2	123.4	1.81	3018	-2	16846	-697	-4.1	29.6
Harrison County	Iowa	389	350	39	10	1	118	61	55	0.11	0.33	0.16	0.02	0.02	17315	2859	6491	0.165	0.375	0.17	0.15	0.14	228.4	4.01	2090	-0.58	14049	-860	-6.1	20
Henry County	Iowa	287	266	21	5	3	61	54	27	0.08	0.34	0.09	0.11	0.035	7650	560	2213	0.073	0.289	0.29	0.3	0.3	257.3	5.52	2921	-1.69	19954	-152	-0.8	45.7
Howard County	Iowa	68	28	40	18	0	14	7	6	1.43	2.86	2.57	0	0.003	8280	776	2732	0.094	0.33	0.15	0.13	0.09	38.1	1.19	3077	-2.23	9158	-410	-4.5	19.3
Humboldt County	Iowa	58	38	20	5	0	7	7	2	0.53	2.86	0.71	0	0.004	10832	1296	4553	0.12	0.42	0.15	0.13	0.12	34.2	9.68	3079	-2.24	9558	-234	-2.4	21.9
Ida County	Iowa	18	17	1	0	0	3	3	3	0.06	0.33	0	0	0.002	7368	828	2559	0.112	0.347	0.04	0.04	0.04	9	1.37	2411	-0.94	6860	-206	-3	15.9
Iowa County	Iowa	436	370	66	17	8	72	26	16	0.18	0.92	0.65	0.5	0.036	10208	540	2885	0.053	0.283	0.28	0.24	0.23	227.3	-0.63	3073	-2.2	16184	-151	-0.9	27.6
Jackson County	Iowa	401	345	56	18	6	127	115	33	0.16	0.44	0.16	0.18	0.027	12721	727	3452	0.057	0.271	0.32	0.3	0.3	104.4	3.02	1944	-0.44	19439	-391	-2	29.9
Jasper County	Iowa	510	410	100	43	20	155	90	69	0.24	0.65	0.48	0.29	0.03	13842	1080	3852	0.078	0.278	0.39	0.35	0.33	336.2	20.88	2925	-1.7	37185	373	1	50.7
Jefferson County	Iowa	448	385	63	30	12	72	68	28	0.16	0.88	0.44	0.43	0.038	10057	766	2787	0.076	0.277	0.26	0.23	0.23	86.5	0.06	2924	-1.7	18295	1458	8	41.9
Johnson County	Iowa	1480	1288	192	61	37	452	214	155	0.15	0.42	0.29	0.24	0.106	12126	643	2370	0.053	0.195	0.61	0.55	0.55	240.7	1.3	2730	-1.37	151140	19803	13.1	242.5
Jones County	Iowa	231	196	35	6	3	13	10	6	0.18	2.69	0.6	0.5	0.016	12437	667	3138	0.054	0.252	0.24	0.18	0.16	232.9	2.2	3033	-2.08	20681	-8	0	35.9
Keokuk County	Iowa	111	85	26	1	1	18	16	13	0.31	1.44	0.06	0.08	0.008	11095	704	3468	0.063	0.313	0.22	0.17	0.17	45.8	4.68	3030	-2.07	10246	-262	-2.6	17.7
Kossuth County	Iowa	47	35	12	2	1	10	8	2	0.34	1.2	0.25	0.5	0.002	17461	2882	6478	0.165	0.371	0.09	0.08	0.08	126.2	2.48	3111	-2.61	14813	-712	-4.8	15.2
Lee County	Iowa	439	382	57	12	4	39	32	12	0.15	1.46	0.38	0.33	0.031	12434	839	1905	0.067	0.153	0.39	0.38	0.38	107.5	0.97	2431	-0.96	33657	-2192	-6.5	62.5
Linn County	Iowa	1128	914	214	78	6	333	163	103	0.23	0.64	0.48	0.06	0.051	17806	991	3302	0.056	0.185	0.51	0.48	0.48	253.6	1.3	2923	-1.69	226706	15001	6.6	312.9
Louisa County	Iowa	226	200	26	7	7	37	30	19	0.13	0.7	0.23	0.37	0.026	7829	690	3025	0.088	0.386	0.27	0.24	0.24	412.1	0.79	2574	-1.13	11035	-347	-3.1	26.4
Lucas County	Iowa	511	343	168	38	22	129	73	22	0.49	1.3	0.52	1	0.049	7012	797	3082	0.114	0.44	0.41	0.39	0.39	147.8	2.55	2764	-1.43	8600	-298	-3.5	19.8
Lyon County	Iowa	35	21	14	1	1	3	1	1	0.67	4.67	1	1	0.004	5973	898	1766	0.15	0.296	0.11	0.06	0.06	145.7	7.1	3088	-2.3	11755	188	1.6	20
Madison County	Iowa	875	692	183	62	16	265	183	97	0.26	0.69	0.34	0.16	0.063	10953	627	3790	0.057	0.346	0.41	0.4	0.4	126.6	5.93	2643	-1.24	16338	599	3.7	29.1
Mahaska County	Iowa	300	236	64	16	4	55	32	5	0.27	1.16	0.5	0.8	0.018	12853	633	3731	0.049	0.29	0.26	0.26	0.25	190.7	2.14	2394	-0.92	22095	-313	-1.4	38.5
Marion County	Iowa	836	638	198	58	22	152	87	65	0.31	1.3	0.67	0.34	0.055	11539	1065	3538	0.092	0.307	0.44	0.41	0.42	536.8	-1	2631	-1.22	33253	28	0.1	58.3
Marshall County	Iowa	432	359	73	36	17	151	140	43	0.2	0.48	0.26	0.4	0.034	10418	921	2831	0.088	0.272	0.37	0.31	0.32	147.2	3.67	3045	-2.13	39369	-1353	-3.4	68.7
Mills County	Iowa	160	118	42	9	5	37	21	12	0.36	1.14	0.43	0.42	0.011	10767	2338	4124	0.217	0.383	0.2	0.17	0.17	366.1	-6.11	1959	-0.46	15109	33	0.2	34.4
Mitchell County	Iowa	137	108	29	6	2	33	10	7	0.27	0.88	0.6	0.29	0.019	5769	719	1475	0.125	0.256	0.18	0.18	0.15	601.2	4.98	3084	-2.27	10586	-207	-2	22.6
Monona County	Iowa	119	106	13	0	0	44	25	24	0.12	0.3	0	0	0.008	13866	2575	5607	0.186	0.404	0.17	0.15	0.15	132.4	30.52	2048	-0.53	8615	-633	-7.3	12.3
Monroe County	Iowa	519	352	167	9	2	56	53	32	0.47	2.98	0.17	0.06	0.034	10282	1109	4034	0.108	0.392	0.47	0.46	0.46	123.9	2.48	2739	-1.38	7707	-290	-3.8	17.8
Montgomery County	Iowa	136	122	14	1	0	17	10	4	0.11	0.82	0.1	0	0.014	8945	1351	3044	0.151	0.34	0.22	0.19	0.2	531.8	-1.35	2376	-0.9	9917	-773	-7.8	23.3
Muscatine County	Iowa	339	265	74	29	18	153	123	31	0.28	0.48	0.24	0.58	0.032	8301	550	2681	0.066	0.323	0.4	0.38	0.38	227.2	2.17	2613	-1.2	42664	-139	-0.3	95
O'Brien County	Iowa	32	23	9	6	1	6	5	0	0.39	1.5	1.2	1	0.002	11088	1328	3997	0.12	0.36	0.05	0.05	0.04	304.8	28.42	3092	-2.35	13753	-655	-4.8	24
Osceola County	Iowa	17	17	0	0	0	0	0	0	0	0	0	0	0.002	9384	1485	3882	0.158	0.414	0.04	0.04	0.04		1.54	2943	-1.73	5958	-501	-8.4	14.9
Page County	Iowa	148	109	39	8	2	23	22	9	0.36	1.7	0.36	0.22	0.01	10406	2066	3566	0.199	0.343	0.28	0.21	0.2	211.3	4.05	2451	-0.99	15107	-814	-5.4	28.2
Palo Alto County	Iowa	54	29	25	8	1	3	3	0	0.86	8.33	2.67	1	0.002	11861	1811	5565	0.153	0.469	0.24	0.18	0.19	139.7	6.08	2509	-1.05	8886	-512	-5.8	15.6
Plymouth County	Iowa	282	280	2	0	0	79	40	8	0.01	0.03	0	0	0.015	18255	1747	4315	0.096	0.236	0.11	0.11	0.11	395.6	-1.43	2740	-1.38	25177	202	0.8	29.1
Pocahontas County	Iowa	26	20	6	0	0	3	3	2	0.3	2	0	0	0.001	14730	2504	6581	0.17	0.447	0.06	0.03	0.03	86	26.29	2705	-1.33	6619	-670	-10.1	11.4
Polk County	Iowa	2637	2049	588	239	124	1239	798	274	0.29	0.47	0.3	0.45	0.458	4469	315	987	0.07	0.221	0.5	0.4	0.4	277.6	5.09	2583	-1.15	490161	57809	11.8	828.1
Pottawattamie County	Iowa	637	555	82	25	8	238	157	72	0.15	0.34	0.16	0.11	0.03	18445	3037	5263	0.165	0.285	0.48	0.44	0.44	384.9	7.66	1991	-0.48	93206	-157	-0.2	97.1
Poweshiek County	Iowa	293	217	76	22	4	75	54	20	0.35	1.01	0.41	0.2	0.019	11519	707	3741	0.061	0.325	0.19	0.19	0.19	259.3	5.15	3027	-2.05	18504	-421	-2.3	31.6
Ringgold County	Iowa	443	341	102	8	2	55	47	19	0.3	1.85	0.17	0.11	0.034	10156	1599	4625	0.157	0.455	0.31	0.28	0.28	175.3	-5.69	2402	-0.93	4894	-219	-4.5	9.1
Sac County	Iowa	68	58	10	1	1	18	18	5	0.17	0.56	0.06	0.2	0.005	12161	1265	4872	0.104	0.401	0.08	0.08	0.08	149.3	5.2	1997	-0.49	9721	-633	-6.5	16.8
Sioux County	Iowa	141	133	8	2	2	53	26	21	0.06	0.15	0.08	0.1	0.007	18256	1917	4221	0.105	0.231	0.1	0.1	0.1	310.8	26.58	3001	-1.92	34855	1101	3.2	45.3
Story County	Iowa	759	607	152	55	11	201	159	74	0.25	0.76	0.35	0.15	0.057	10719	1175	3066	0.11	0.286	0.43	0.38	0.39	364.3	1.69	2999	-1.91	97117	7463	7.7	169.3
Tama County	Iowa	257	197	60	15	4	37	36	8	0.3	1.62	0.42	0.5	0.014	13611	890	4620	0.065	0.339	0.34	0.31	0.32	733.5	1.5	3007	-1.95	16854	-865	-5.1	23.3
Taylor County	Iowa	221	158	63	6	3	35	32	24	0.4	1.8	0.19	0.12	0.013	12138	2243	4972	0.185	0.41	0.34	0.29	0.29	78.6	-12.51	2256	-0.76	6121	-201	-3.3	11.4
Union County	Iowa	251	198	53	7	2	56	52	26	0.27	0.95	0.13	0.08	0.024	8116	822	2559	0.101	0.315	0.27	0.27	0.27	132	2.47	2588	-1.16	12241	-272	-2.2	28.7
Van Buren County	Iowa	296	251	45	15	4	35	33	22	0.18	1.29	0.45	0.18	0.025	10045	1302	4140	0.13	0.412	0.32	0.32	0.32	43.4	2.75	2114	-0.6	7044	-533	-7.6	14.4
Wapello County	Iowa	527	400	127	33	16	58	50	15	0.32	2.19	0.66	1.07	0.028	14051	840	3339	0.06	0.238	0.4	0.38	0.37	144.3	2.78	2103	-0.59	34969	-713	-2	80.2
Warren County	Iowa	1669	1151	518	158	74	533	264	169	0.45	0.97	0.6	0.44	0.074	15632	754	5183	0.048	0.332	0.46	0.42	0.43	262.1	0.86	2533	-1.08	51466	5126	10	89.8
